Name,Type,Technologies,Author,Presented /Last updated,Licence*,Homepage,Irrelevant_1
ABySS,(large) genomes,"Solexa, SOLiD","Simpson, J. et al.",2008 / 2011,NC-A,link,4nFyHGK
ALLPATHS-LG,(large) genomes,"Solexa, SOLiD","Gnerre, S. et al.",2011,OS,link,W25GXP
AMOS,genomes,"Sanger, 454","Salzberg, S. et al.",2002? / 2008?,OS,link,xX8mkQ6P
Arapan-M,Medium Genomes (e.g. E.coli),All,"Sahli, M. & Shibuya, T.",2011 / 2012,OS,link,ZWnlxV2U
Arapan-S,Small Genomes (Viruses and Bacteria),All,"Sahli, M. & Shibuya, T.",2011 / 2012,OS,link,ufqEdg
Celera WGA Assembler / CABOG,(large) genomes,"Sanger, 454, Solexa","Myers, G. et al.; Miller G. et al.",2004 / 2010,OS,link,YwX3v
CLC Genomics Workbench & CLC Assembly Cell,genomes,"Sanger, 454, Solexa, SOLiD",CLC bio,2008 / 2010 / 2011,C,link,07ar6Xl
Cortex,genomes,"Solexa, SOLiD","Iqbal, Z. et al.",2011,OS,link,bJIEr13V
DNA Baser,genomes,"Sanger, 454",Heracle BioSoft SRL,01.2014,C,www.DnaBaser.com,KIcCibw
DNA Dragon,genomes,"Illumina, SOLiD, Complete Genomics, 454, Sanger",SequentiX,2011,C,link,HUrhdP
DNAnexus,genomes,"Illumina, SOLiD, Complete Genomics",DNAnexus,2011,C,link,g9QJKwc
