Name,Type,Technologies,Author,Presented /Last updated,Licence*,Homepage
Newbler,"genomes, ESTs","454, Sanger",454/Roche,2009,C,link
PADENA,genomes,"454, Sanger",454/Roche,2010,OS,link
PASHA,(large) genomes,Illumina,"Liu, Schmidt, Maskell",2011,OS,link
Phrap,genomes,"Sanger, 454, Solexa","Green, P.",1994 / 2008,C / NC-A,link
TIGR Assembler,genomic,Sanger,-,1995 / 2003,OS,link
Ray,genomes,"Illumina, mix of Illumina and 454, paired or not","Sébastien Boisvert, François Laviolette & Jacques Corbeil.",2010,OS [GNU General Public License],link
Sequencher,genomes,traditional and next generation sequence data,Gene Codes Corporation,1991 / 2009 / 2011,C,link
SeqMan NGen,"(large) genomes, exomes, transcriptomes, metagenomes, ESTs","Illumina, ABI SOLiD, Roche 454, Ion Torrent, Solexa, Sanger",DNASTAR,2007 / 2011,C,link
SGA,(large) genomes,"Illumina, Sanger (Roche 454?, Ion Torrent?)","Simpson, J.T. et al.",2011 / 2012,OS,link
SHARCGS,(small) genomes,Solexa,Dohm et al.,2007 / 2007,OS,link
SOPRA,genomes,"Illumina, SOLiD, Sanger, 454","Dayarian, A. et al.",2010 / 2011,OS,link
