Payload type (PT),Name,Type,No. of channels,Clock rate (Hz),Frame size (ms),Default packet size (ms),Description,References
dynamic (96-127),mpa-robust,audio,,90000,,,A More Loss-Tolerant RTP Payload Format for MP3 Audio,RFC 5219
dynamic (or profile),MP4A-LATM,audio,,90000 or others,,recommended same as frame size,RTP Payload Format for MPEG-4 Audio,RFC 6416 (previously RFC 3016)
dynamic (or profile),MP4V-ES,video,,90000 or others,,recommended same as frame size,RTP Payload Format for MPEG-4 Visual,RFC 6416 (previously RFC 3016)
dynamic (or profile),mpeg4-generic,audio/video,,90000 or other,,,RTP Payload Format for Transport of MPEG-4 Elementary Streams,RFC 3640
dynamic,VP8,video,,90000,,,RTP Payload Format for Transport of VP8 Streams,draft-ietf-payload-vp8-08
dynamic,L8,audio,(various),(various),any,20,Linear PCM 8-bit audio with 128 offset,RFC 3551 Section 4.5.10 and Table 5
dynamic,DAT12,audio,(various),"8000, 11025, 16000, 22050, 24000, 32000, 44100, 48000 or others",any,20 (by analogy with L16),IEC 61119 12-bit nonlinear audio,RFC 3190 Section 3
dynamic,L16,audio,(various),"8000, 11025, 16000, 22050, 24000, 32000, 44100, 48000 or others",any,20,Linear PCM 16-bit audio,"RFC 3551 Section 4.5.11, RFC 2586"
dynamic,L20,audio,(various),"8000, 11025, 16000, 22050, 24000, 32000, 44100, 48000 or others",any,20 (by analogy with L16),Linear PCM 20-bit audio,RFC 3190 Section 4
dynamic,L24,audio,(various),"8000, 11025, 16000, 22050, 24000, 32000, 44100, 48000 or others",any,20 (by analogy with L16),Linear PCM 24-bit audio,RFC 3190 Section 4
