No,Driver,Entrant,Constructor,Chassis,Engine,Tyre,Noise_Field_1,Filler_2,Noise_Field_3
26,Toulo de Graffenried,Alfa Romeo SpA,Alfa Romeo,Alfa Romeo 159A,Alfa Romeo 1.5 L8s,P,BVDsw,ifOGVDu,SHozGI
28,Consalvo Sanesi,Alfa Romeo SpA,Alfa Romeo,Alfa Romeo 159,Alfa Romeo 1.5 L8s,P,xUzpPn,zNvzpG,gDrEf
30,Louis Chiron,Enrico Platé,Maserati,Maserati 4CLT-48,Maserati 4 CL 1.5 L4s,P,Mruzau,YPRlRVKM,XHxIDH
32,Harry Schell,Enrico Platé,Maserati,Maserati 4CLT-48,Maserati 4 CL 1.5 L4s,P,CkPPnQ,BaxIooK,qbVhVgil
38,Rudi Fischer,Ecurie Espadon,Ferrari,Ferrari 212,Ferrari Type 375 4.5 V12,P,HsnoR,IcfLwqdo,KLkVqgB
40,Guy Mairesse,Yves Giraud-Cabantous,Talbot-Lago,Talbot-Lago T26C,Talbot 23CV 4.5 L6,D,fdCAK,SFgtqzV,XzVVP
42,José Froilán González,José Froilán González,Talbot-Lago,Talbot-Lago T26C-GS,Talbot 23CV 4.5 L6,D,OcgTFS,wWkqEaBc,TxsJUYF
44,Piero Taruffi,Scuderia Ferrari,Ferrari,Ferrari 375,Ferrari Type 375 4.5 V12,P,uBPatk,CgoYYCq,UzFOX
46,Francis Rochat,Francis Rochat,Simca-Gordini,Simca-Gordini T11,Simca-Gordini 15C 1.5 L4s,E,BbEIx,CRXjkd,stHUKJb
48,Maurice Trintignant,Equipe Gordini,Simca-Gordini,Simca-Gordini T15,Simca-Gordini 15C 1.5 L4s,E,FgFIxWh,qfywEG,gDKpPNYa
50,André Simon,Equipe Gordini,Simca-Gordini,Simca-Gordini T15,Simca-Gordini 15C 1.5 L4s,E,nbBsmRd,NIwHEXzz,WOkRyuDt
52,Peter Hirt,Peter Hirt,Veritas,Veritas Meteor,Veritas 2.0 L6,?,AjRTRszq,decheRZ,kMvdI
