Team,Truck(s),#,Driver(s),Primary Sponsor(s),Listed Owner(s),Crew Chief,Random_Column_1,Filler_2
Addington Racing,Chevrolet Silverado,60,Travis Kvapil,CAT Rental Stores,Mike Addington,Rick Ren,PJjomVJ,XHGYIhIy
Bobby Hamilton Racing,Dodge Ram,4,Brian Rose,Perry Connection,Debbie Hamilton,Danny Rollins,KzTYmIFO,dYMJjpKx
Bobby Hamilton Racing,Dodge Ram,8,Bill Lester (R),Dodge Dealers,Bobby Hamilton,Kip McCord,UNE8qbn,qAtnc
Bobby Hamilton Racing,Dodge Ram,18,Robert Pressley,n/a,Bobby Hamilton,Danny Gill,W5hS9vbv,WQyDvcY
Circle Bar Racing,Ford F-150,14,Rick Crawford,Circle Bar Motel & RV Park,Tom Mitchell,Ray Stonkus,KtSYtk,OwHuqRVC
Countryman Motorsports,Ford F-150,15,Rich Bickle,Dickies,Billy Ballew,Craig Osbourne,hkcMXl,LDFGzV
Green Light Racing,Chevrolet Silverado,07,Jason Small (R),Sunbelt Rentals,Gene Christensen,Dennis Fiebel,bZMWxCn,gbKjwrL
Green Light Racing,Chevrolet Silverado,08,Bobby Dotter,People Against Drugs,Gene Christensen,Doug Howe,1vviCdhW,OPNKdT
Joe Gibbs Racing,Chevrolet Silverado,20,Coy Gibbs,MBNA,Joe Gibbs,Doug Hewitt,uobFw,mUSVJaE
K Automotive Racing,Ford F-150,29,Terry Cook,Power Stroke Diesel,Kay Keselowski,Bob Keselowski,8PvAkW,oOZklMIZ
L&R Racing,Chevrolet Silverado,90,Lance Norick,Express Personnel Services,Ron Norick,Gary Showalter,cekio,sppistD
