Team,Truck(s),#,Driver(s),Primary Sponsor(s),Listed Owner(s),Crew Chief,Irrelevant_1,Filler_2,Noise_Field_3
MacDonald Motorsports,Chevrolet Silverado,72,Randy MacDonald,Greenfield Truck Center,Marrill MacDonald,Steve Bird,6ESZzN,dHpduZfC,OcfDEo
Morgan-Dollar Motorsports,Chevrolet Silverado,46,Dennis Setzer,Acxiom/Computer Associates,David Dollar,John Monsam,HJIbB,aPrcBI,liApKb
Orleans Racing,Dodge Ram,62,Brendan Gaughan (R),NAPA Auto Parts,Michael Gaughan,Shane Wilson,2ojV2vY,PWCqJ,KesMGt
Petty Enterprises,Dodge Ram,43,Carlos Contreras,Hot Wheels,Richard Petty,Howard Comstock,6aC1v1Q,aFLzDc,IlkyjYV
Portenga Motorsports,Chevrolet Silverado,39,Steve Portenga,Roto-rooter,Steve Portenga,George Church,L6X1GQ4L,VHUtfPe,kosHL
Powers Motorsports,Dodge Ram,55,Tom Powers,University of Northwestern Ohio,Sherri Powers,Bryan Berry,zifLy4Z,KtVLYU,uOJaGs
R&J Racing,Dodge Ram,68,Rodney Sawyers (R),n/a,Wendy Sawyers,Jeff Sawyers,9UUnxI,ATuKzrQh,BjDZz
RDS Motorsports,Dodge Ram,79,Jerry Hill,RDS Racing Engines,R. D. Smith,Ralph Wingfield Jr.,lX3OJJg,TuNARppc,dtHXxFw
Roush Racing,Ford F-150,50,Jon Wood,Navy Racing,Jack Roush,Dan Binks,1NztSzQ,HDBbXS,mHsfeFHV
SealMaster Racing,Chevrolet Silverado,88,Matt Crafton,Sealmaster,Duke Thorson,Jerry Cook,vU0Tk,sLpDayd,pDkQUsY
Shepherd Racing,Ford F-150,21,Morgan Shepherd,n/a,Cindy Shepherd,Ted Jackson,EE81BgSM,JnJLS,ZrBSUkyN
