Year,NW Rank,Venue,Opp Rank,Opponent,Score,W/L,Round,Notes
1984,--,Away,--,Nebraska-Omaha,15-28,L,1st Round,
1989,18,Away,--,Pittsburg State,7-28,L,1st Round,
1996,2,Away,--,Nebraska-Omaha,22-21,W,1st Round,
1996,2,Away,--,Northern Colorado,26-27,L,Quarterfinal,
1997,3,Maryville,16,North Dakota State,39-28,W,1st Round,
1997,3,Maryville,--,Northern Colorado,19-35,L,Quarterfinal,
1998,2,Maryville,16,Nebraska-Omaha,28-14,W,1st Round,
1998,2,Maryville,6,Northern Colorado,42-17,W,Quarterfinal,
1998,2,Maryville,11,Texas A&M-Kingsville,49-34,W,Semifinal,
1998,2,Braly Stadium,3,Carson-Newman,24-6,W,Finals,
1999,4,Maryville,9,North Dakota State,20-13,W,1st Round,
