Year,NW Rank,Venue,Opp Rank,Opponent,Score,W/L,Round,Notes
2008,3,Away,2,Abilene Christian,45-36,W,Quarterfinal,
2008,3,Away,5,North Alabama,41-7,W,Semifinal,
2008,3,Braly Stadium,6,Minnesota-Duluth,14-21,L,Finals,
2009,2,Maryville,16,Abilene Christian,35-10,W,2nd Round (first round bye),
2009,2,Away,1,Central Washington,21-20,W,Quarterfinal,
2009,2,Maryville,20,California (Pennsylvnania),56-31,W,Semifinal,
2009,2,Braly Stadium,3,Grand Valley State,30-23,W,Finals,
2010,3,Maryville,-,Missouri Western,28-24,W,1st Round,Northwest trailed by 17 at half—it largest deficit that it had come back from.
2010,3,Away,4,Texas A&M-Kingsville,35-31,W,2nd Round,Texas had defeated Northwest on opening day. Northwest won with 17 seconds remaining on Blake Bolles to Josh Baker pass.
2010,3,Maryville,7,Central Missouri,37-20,W,Quarterfinal,"Northwest had won earlier game in Warrensburg on a field goal as time expired that was attended by 13,096—the biggest crowd at MIAA venue in history."
2010,3,Away,4,Texas A&M-Kingsville,35-31,W,2nd Round,Texas had defeated Northwest on opening day. Northwest won with 17 seconds remaining on Blake Bolles to Josh Baker pass.
