Year,NW Rank,Venue,Opp Rank,Opponent,Score,W/L,Round,Notes
1999,4,Maryville,3,Northern Colorado,43-35,W,Quarterfinal,
1999,4,Maryville,--,Indiana University (Pa.),20-12,W,Semifinal,
1999,4,Braly Stadium,1,Carson-Newman,58-52,W,Finals,
2000,1,Maryville,5,North Dakota State,17-13,L,1st Round,
2002,4,Maryville,11,Minnesota-Duluth,45-41,W,2nd Round (first round bye),
2002,4,Maryville,7,Northern Colorado,12-23,L,Quarterfinal,
2004,4,Maryville,6,Texas A&M-Kingsville,34-14,W,1st Round,
2004,4,Away,1,Pittsburg State,36-50,L,Quarterfinal,
2005,21,Away,29,Angelo State,45-14,W,1st Round,
2005,21,Away,12,Washburn,42-32,W,2nd Round,
2005,21,Away,23,Pittsburg State,21-10,W,Quarterfinal,
