Year,NW Rank,Venue,Opp Rank,Opponent,Score,W/L,Round,Notes,Noise_Field_1,Irrelevant_2,Extra_Data_3
2010,3,Away,1,Minnesota-Duluth,13-17,L,Semifinal,Played during snowstorm that collapsed the Hubert H. Humphrey Metrodome roof. Temperatures were in the single digits and the wind blew at 30 mph. Northwest led most of the game until 4:12 left in the fourth quarter.,QvbSjS,ooJEmwom,310
2011,7,Away,17,Missouri Western,35-29,W,1st Round,Northwest lost earlier game in St. Joseph 31-28. Northwest rallied in second half with 21 unanswered points. Northwest had been down 16-0 in the first four minutes of the game.,lnfrPZp,SKP4E,781
2011,7,Away,1,Midwestern State,38-31,W,2nd Round (1 OT),Midwest was ranked #1 going into the game and was one of only 3 undefeated D2 teams. Midwest led 28-10 in the second quarter - the biggest Northwest deficit since it began its dominance in 2004. The game was played in 30 mph winds. Midwest marched to the Bearcat 9 with 10 seconds remaining. Greg Saladino shanked a potential game winning field goal throwing it into overtime. Bearcat quarterback Trevor Adams hit Kyle Kilgore on a 13-yard wheel route for the overtime's only score by either team.,FsPha,sWqtMko,851
2011,7,Away,6,Pittsburg State,16-41,L,Quarterfinal,Pittsburg had defeated the Bearcats earlier in the season in a game that broke Northwest's record 49 straight MIAA victory record (a game in which the Bearcats had led 21-0) and this was a rematch of MIAA teams. The game was played in a driving rain. Northwest led 10-0 at the end of the first quarter and it was tied at half. Pittsburg scored 31 points in second half.,PSurCtQ,f0XfAc,510
2012,10,Maryville,9,Harding University,35-0,W,First Round,,JjLGKU,GUIZSIv,944
2012,10,Away,2,Minnesota State-Mankato,35-38 (2OT),L,Second Round,Northwest was down 0-21 but scored 28 points in the second half to force two overtimes in which Northwest ultimately lost after Mankato turned an intercepted pass into a field goal.,SXCORn,y5yBql,111
2013,2,Maryville,5,Minnesota-Duluth,45-21,W,Second Round (first round bye),,WJPZWV,AGCCl6AQ,57
2013,2,Maryville,5,Minnesota-Duluth,59-21,W,Second Round (first round bye),,FNvqdf,t6VAYV,899
2013,2,Maryville,12,Minnesota-St. Cloud,59-21,W,Quarterfinal,,QiwSpkP,xSA4Y6,590
2013,2,Maryville,22,Grand Valley State,27-13,W,Semifinal,Game was attend by Missouri Governor Jay Nixon who gave a pep talk to team at the beginning.,IgXeQdNp,v7ILE,198
2013,2,Braly Stadium,13,Lenoir–Rhyne,43-28,W,Final,Lenoir set a record for most offensive rushing yards in any NCAA division in one season however it was held in check by Northwest which jumped to a 17-0 lead in the first quarter. The game was the last Division II championship at Braly Stadium. Northwest's home conference MIAA won a bid the week before the game to host future championships 100 miles from Maryville in Kansas City at Sporting Park .,BrjbKT,GrGPtR,14
