#,Matters,Sections of the Constitution allowing their institution,Eligible petitioners,Type,Filler_1,Random_Column_2,Dummy_Col_3
1,"A petition for a decision as to whether a resolution or regulation of a political party to which the petitioner belongsis contrary to his status and functions as Representative, oris contrary to the fundamental principles of the democratic regime of government with the King as Head of State","Section 65, paragraph 3",A member of the political party in question,Political party,AhHRpA,RyMXIvz,zchqloGC
2,"A petition for a decision as to whether any person or political party exercises the constitutional rights and freedomsto undermine the democratic regime of government with the King as Head of State, orto acquire the national government power by the means not recognised by the Constitution",Section 68,Any person,Constitutional defence,syRUDMRG,Z4qQiG,DwjIvr
3,A petition for a decision as to whether any Representative or Senator loses his membership by operation of the Constitution,Section 91,At least one tenth of the existing Representatives or Senators,Membership,NANLceK,QJL1U,RueuDUj
4,"A petition for a decision as to whether a political party resolution terminating any Representative's membership in the partyis contrary to his status and functions as Representative, oris contrary to the fundamental principles of the democratic regime of government with the King as Head of State",Section 106 (7),The Representative in question,Political party,ZREyGIp,LMxBdYMb,wkSyrK
5,A petition for a decision concerning the constitutionality of a draft organic act having been approved by the National Assembly,Section 141,The National Assembly,Constitutionality of draft law,RMDLxFqY,253OnC,EfAgpqZ
6,A petition for a decision as to whether a draft organic act or act introduced by the Council of Ministers or Representatives bears the principle identical or similar to that which needs to be suppressed,Sections 140 and 149,The President of the House of Representatives or Senate,Constitutionality of draft law,xiclek,hyEO4Mp,InilS
7,"A petition for a decision as towhethera bill having been approved by the National Assembly by virtue of section 150 but having not yet been submitted to the King by the Prime Minister, ora bill having been reapproved by the National Assembly but having not yet been resubmitted to the King by the Prime Minister,is unconstitutional, orwhether its enactment was in compliance with the requirements of the Constitution",Section 154,At least one tenth of the existing Representatives or SenatorsThe Prime Minister,Constitutionality of draft law,UmbPLnb,IbCmpf,dkqCkXa
8,"A petition for a decision as towhether the draft rules of order of the House of Representatives, the draft rules of order of the Senate, or the draft rules of order of the National Assembly, which have been approved by the House of Representatives, Senate or National Assembly but have not yet been published in the Government Gazette, are unconstitutional, orwhether their enactment was in compliance with the requirements of the Constitution",Section 155,At least one tenth of the existing Representatives or SenatorsThe Prime Minister,Constitutionality of draft law,xJsuF,5fjayne,JXLxH
9,"A petition for a decision as to whether any motion, motion amendment or action introduced during the House of Representatives, Senate or committee proceedings for consideration of a draft bill on annual expenditure budget, additional expenditure budget or expenditure budget transfer, would allow a Representative, Senator or committee member to directly or indirectly be involved in the disbursement of such budget","Section 168, paragraph 7",At least one tenth of the existing Representatives or Senators,Others,dvtFWe,Ce8w1kSA,XMmXjOA
10,A petition for a decision as to whether any Minister individually loses his ministership,Section 182,At least one tenth of the existing Representatives or SenatorsThe Election Commission,Membership,iXouEVEZ,ZZ4yL,lazLcxbT
11,"A petition for a decision as to whether an emergency decree is enacted against section 184, paragraph 1 or 2, of the Constitution",Section 185,At least one fifth of the existing Representatives or Senators,Constitutionality of law,rpwbLq,W1ZYR,qMaxj
12,"A petition for a decision as to whether any \written agreement\"" to be concluded by the Executive Branch requires prior parliamentary approval because",,,,HsruDwl,EQNjWU,JPopaB
,,,,,mNGmGpDf,xPzzCk,uwRZGxZF
