Pos,Rider,Manufacturer,Laps,Time/Retired,Grid,Points,Extra_Data_1
1,Manuel Poggiali,Gilera,25,41:18.211,1,25,353
2,Dani Pedrosa,Honda,25,+0.019,4,20,59
3,Steve Jenkner,Aprilia,25,+9.888,3,16,912
4,Lucio Cecchinello,Aprilia,25,+15.397,5,13,525
5,Simone Sanna,Aprilia,25,+15.452,8,11,505
6,Joan Olivé,Honda,25,+15.486,20,10,383
7,Stefano Bianco,Aprilia,25,+15.549,11,9,278
8,Pablo Nieto,Aprilia,25,+16.218,2,8,391
9,Mika Kallio,Honda,25,+22.762,10,7,688
10,Mirko Giansanti,Honda,25,+22.839,16,6,590
11,Arnaud Vincent,Aprilia,25,+23.067,23,5,832
12,Andrea Ballerini,Honda,25,+23.134,18,4,891
