Pos,Rider,Manufacturer,Laps,Time/Retired,Grid,Points,Extra_Data_1,Extra_Data_2
13,Stefano Perugini,Italjet,25,+43.345,17,3,252,594
14,Jorge Lorenzo,Derbi,25,+43.973,7,2,402,270
15,Masao Azuma,Honda,25,+47.189,13,1,858,484
16,Jakub Smrž,Honda,25,+47.333,24,,44,138
17,Gianluigi Scalvini,Aprilia,25,+52.000,22,,14,63
18,Héctor Barberá,Aprilia,25,+1:11.358,27,,699,605
19,Mattia Angeloni,Gilera,25,+1:11.488,29,,932,4
20,Alex Baldolini,Aprilia,25,+1:21.603,32,,983,696
21,Jaroslav Huleš,Aprilia,25,+1:21.681,15,,255,277
22,Julian Simon,Honda,25,+1:31.723,26,,111,895
23,Imre Tóth,Honda,25,+1:31.794,31,,397,24
