Title,Release,Genre,Computer,Console,Handheld,Smartphone
Lego Minifigures Online,2014,Massively multiplayer online (MMO),Windows,—,—,"iOS, Android"
Lego My Style Kindergarten,2000,Educational,"Windows, Mac OS",—,—,—
Lego My Style Preschool,2000,Educational,"Windows, Mac OS",—,—,—
Lego Ninjago Nindroids,2014,Action-adventure,—,—,"Nintendo 3DS, PlayStation Vita",—
Lego Ninjago: The Final Battle,2013,Platformer,Windows,—,—,—
Lego Racers,1999,Racing,Windows,"PlayStation, Nintendo 64",Game Boy Color,—
Lego Racers 2,2001,Racing,Windows,PlayStation 2,Game Boy Advance,—
Lego Rock Raiders,1999,"Real-time strategy, Action",Windows,PlayStation,—,—
Lego Soccer Mania,2002,Sport,Windows,PlayStation 2,Game Boy Advance,—
Lego Stunt Rally,2000,Racing,Windows,—,Game Boy Color,—
Lego Universe,2010,Massively multiplayer online (MMO),"Windows, OS X",—,—,—
Legoland,1999,Simulation strategy,Windows,—,—,—
