Title,Release,Genre,Computer,Console,Handheld,Smartphone,Random_Column_1,Unused_2,Irrelevant_3
Bionicle Heroes,2006,Third-person shooter,Windows,"PlayStation 2, GameCube, Xbox, Xbox 360, Wii",Nintendo DS,—,pR97F,,Sykmt
Bionicle: Matoran Adventures,2002,Platformer,—,—,Game Boy Advance,—,fE6nua,,PBaziA
Bionicle: Maze of Shadows,2005,Turn Based RPG,—,—,Game Boy Advance,—,yaUpk,,rdaKYJ3j
Bionicle: Tales of the Tohunga,2001,Adventure,—,—,Game Boy Advance,—,3o7gIunc,,k0ftOtn
Bionicle: The Game,2003,Adventure,"Windows, OS X","PlayStation 2, GameCube, Xbox",Game Boy Advance,—,eCFGLl8,,zO2yKNB
Drome Racers,2002,Racing,Windows,"PlayStation 2, GameCube, Xbox",Game Boy Advance,—,fTqAH,,oODaU
Island Xtreme Stunts,2002,Action-adventure,Windows,PlayStation 2,Game Boy Advance,—,DAtdp5R,,RMGbR
Lego Alpha Team,2000,Action,Windows,—,Game Boy Color,—,7Skmh,,XvpeWmu
Lego Battles,2009,Real-time strategy,—,—,Nintendo DS,—,mlYWQf8D,,6R632b
Lego Battles: Ninjago,2011,Real-time strategy,—,—,Nintendo DS,iOS,dsdLDJXI,,h5coF3NU
Lego Chess,1998,Strategy,Windows,—,—,—,uFGXF,,yY56zl2z
Lego City Undercover,2013,"Open world, Platform game",—,Wii U,—,—,D7RdCCtq,,M0iiTRf
