Title,Release,Genre,Computer,Console,Handheld,Smartphone,Dummy_Col_1,Dummy_Col_2,Irrelevant_3
Lego City Undercover: The Chase Begins,2013,"Open world, Platform game",—,—,Nintendo 3DS,—,hilGhcu,RNQEsoaf,6NjK5IY
Lego Creationary,2011,Puzzle,—,—,—,"iOS, Android",dMvass,BAftgeQ,Jvdy37
Lego Creator,1998,Construction and management simulation,Windows,—,—,—,iyCGS,yJtkqvf,Xv8pF
Lego Creator: Knights Kingdom,2000,Construction and management simulation,Windows,—,—,—,OIlkEUrn,yzqTvoxZ,IoADR
Lego Friends,2013,Miscellaneous,—,—,"Nintendo DS, Nintendo 3DS",—,juVnKyh,gftZvaBS,T7GvL
Lego Island,1997,Action-adventure,Windows,—,—,—,ygAmAGGR,YEOtAhO,FLWsBT
Lego Island 2 The Brickster's Revenge,2001,Action-adventure,Windows,PlayStation,"Game Boy Color, Game Boy Advance",—,thFnDNAC,IZllm,clHLM13
Lego Knights' Kingdom,2004,Action-adventure,—,—,Game Boy Advance,—,Tkmzv,tpzqlF,mblMNBY
Lego Legends of Chima Online,2014,Massively multiplayer online (MMO),Windows,—,—,—,NUmfBDc,uXFEZhs,Hdl0OF
Lego Legends of Chima: Laval's Journey,2013,Action-adventure,—,—,"Nintendo DS, Nintendo 3DS, PlayStation Vita",—,tppsCxzG,mtiRzZsi,HcGufLkL
Lego Legends of Chima: Speedorz,2013,Racing,Windows,—,—,iOS,AYxVw,hZPom,IteCUtp
Lego Loco,1998,Virtual world,Windows,—,—,—,pnIgFQb,IkDrceu,P9E2u
