Seasons,Team,Ch.Wins,Promotions,Relegations,Irrelevant_1
10,Basket Rimini Crabs,0,0,0,CvgugF
10,Aurora Basket Jesi,0,1,1,X1y8j
10,Andrea Costa Imola,0,0,3,Xh48Ve4
9,Nuova Pallacanestro Pavia,0,0,0,mkdN9md
9,Scafati Basket,1,1,0,c3zR8q
8,Basket Club Ferrara,1,1,0,u3fth
8,Pallac. Reggiana Reggio Emilia,2,2,0,ZDKUqxl
7,Novara,0,0,3,QsbhFF8B
7,Dinamo Basket Sassari,0,1,0,5JTFHsQ
6,A.S. Junior Pallacanestro Casale,1,1,1,THK0s
5,RB Montecatini Terme,0,0,1,N0xTp
5,Fabriano Basket,0,0,1,FhLpMbbx
5,Societa Veroli Basket,0,0,0,arlIHcID
