Club,Season,LeagueApps,LeagueGoals,Cup1Apps,Cup1Goals,Continental2Apps,Continental2Goals,Other3Apps,Other3Goals,TotalApps,TotalGoals,Random_Column_1,Irrelevant_2,Filler_3
Anzhi Makhachkala,1999,40,2,,,-,-,-,-,40,2,h2rT7,VABGx,jWDkQtv
Anzhi Makhachkala,2000,30,3,,,-,-,-,-,30,3,Qu4hME,D5qvazF3,hokaz
Anzhi Makhachkala,2001,14,0,,,-,-,-,-,14,0,rPt61D,vr8Hotyn,gLeEWLe
Anzhi Makhachkala,Total,84,5,,,,,,,84,5,dH9dLmm,mCuQ3mC,EDETqRSO
CSKA Moscow,2001,12,1,,,-,-,-,-,12,1,iNxBc,zDSP2XoO,EKDQH
CSKA Moscow,2002,29,2,,,2,0,-,-,31,2,IdbZRO,BVu5Hw,VSWnF
CSKA Moscow,2003,28,1,,,2,0,1,0,31,1,iBEpF70E,1F8nju2I,DWkbM
CSKA Moscow,2004,26,1,,,10,0,1,0,27,1,26qqgs,BTQNAXT,nVoizkA
CSKA Moscow,2005,30,1,0,0,15,0,-,-,45,1,zNMl0evP,BM5FP4,ZotPK
CSKA Moscow,2006,30,1,6,0,7,0,1,0,44,1,uWquR,tDIxA,aSlpkuOG
