Painter,Composition,Drawing,Color,Expression,Extra_Data_1,Extra_Data_2,Noise_Field_3
Giorgione,8,9,18,4,315,569,tCLACA
Giovanni da Udine,10,8,16,3,598,655,rZxOc
Giulio Romano,15,16,4,14,934,324,sXeGGZ
Guercino,18,10,10,4,875,612,qkjodfy
Guido Reni,x,13,9,12,306,975,pHUwh
Holbein,9,10,16,3,491,654,LwdNsHqJ
Jacob Jordaens,10,8,16,6,943,705,vkFBSuQj
Lucas Jordaens,13,12,9,6,609,183,MVXeq
Giovanni Lanfranco,14,13,10,5,741,376,mMaSXeaM
Leonardo da Vinci,15,16,4,14,800,728,yBwVxOiL
Lucas van Leyden,8,6,6,4,173,852,stSrchqL
Michelangelo,8,17,4,8,427,128,wGFPwpQZ
