Painter,Composition,Drawing,Color,Expression,Irrelevant_1,Filler_2,Extra_Data_3
Rubens,18,13,17,17,qJAhlpN9,zggBGmep,919
Francesco Salviati,13,15,8,8,TlvT12G,PylBl,236
Eustache Le Sueur,15,15,4,15,WvcP6jVY,lnnSiae,282
Teniers,15,12,13,6,6OeY3Y,peqhDo,306
Pietro Testa,11,15,0,6,O41nV,wAqEGeSw,944
Tintoretto,15,14,16,4,nmNrNGT,jcKKUt,289
Titian,12,15,18,6,Pm5ABN,iCsrbUmr,910
Van Dyck,15,10,17,13,WTcDm1I,cYMJuij,326
Vanius,15,15,12,13,33sAd,UbrlxxyK,97
Veronese,15,10,16,3,NvRVp,HgyQilBu,139
Taddeo Zuccari,13,14,10,9,tgJycZ,HtiVA,253
Federico Zuccari,10,10,8,8,FRxaUdFp,YaTbQ,1
