Districts,UBIGEO,Area(km²),Population,Population density(/km²),Created,Postalcode,Random_Column_1
Jesús María,150113,4.57,"58,588","12,820.1",13 December 1963,11,JfD0hBpJ
La Molina,150114,65.75,"124,468","1,893.0",6 February 1962,12,QQHgwN
La Victoria,150115,8.74,"190,218","21,764.1",16 August 1921,13,SPuyd
Lima,150101,21.88,"278,804","13,187.2",2 January 1857,01,FdOI4
Lince,150116,3.03,"52,123","17,202.3",20 May 1936,14,FCleW
Los Olivos,150117,18.25,"286,549","15,701.3",7 April 1989,39,QM0Wifht
Lurigancho,150118,236.47,"90,594",383.1,2 January 1857,15,8pCCe
Lurín,150119,181.12,"55,953",308.9,2 January 1857,16,Iapvb6
Magdalena del Mar,150120,3.61,"48,445","13,419.7",10 May 1920,17,3MA2xp
Miraflores,150122,9.62,"92,815","9,648.1",2 January 1857,18,G5Fmo
Pachacamac,150123,160.23,"54,763",341.8,2 January 1857,19,OlljU58
