Districts,UBIGEO,Area(km²),Population,Population density(/km²),Created,Postalcode,Filler_1,Noise_Field_2,Irrelevant_3
Pucusana,150124,37.83,"9,231",244.0,22 January 1943,20,ZZyrKd,aWIsaQP,Xl4MhC
Pueblo Libre,150121,4.38,"71,892","16,413.7",2 January 1857,21,XtSYQdP,NrzPlS,a5i00UjD
Puente Piedra,150125,71.18,"203,473","2,858.6",14 February 1927,22,LIkuW,fPBsbeIS,XQdqA81
Punta Hermosa,150126,119.5,"4,676",39.1,7 April 1954,24,HvYQq,hmpSL,hV0D6J
Punta Negra,150127,130.5,"4,473",34.3,7 April 1954,23,hKmqlqIC,GLAfnjVC,IDhCYg
Rímac,150128,11.87,"175,793","14,809.9",16 August 1921,25,RgYTowtm,Acplua,jk13hbh
San Bartolo,150129,45.01,"5,733",127.4,5 May 1946,26,aQmPbgm,jRKzuBB,akp4fL
San Borja,150130,9.96,"102,762","10,317.5",1 June 1983,41,BpgXJ,QDaWRR,srZFZ
San Isidro,150131,11.1,"55,309","6,165.6",24 April 1931,27,XQFWIxxF,CSGBzW,np15Vmxn
San Juan de Lurigancho,150132,131.25,"812,656","6,191.7",13 January 1967,36,STHjxy,exupR,FicYj
San Juan de Miraflores,150133,23.98,"335,237","13,979.9",12 January 1965,29,lZKSXtsC,fELTPcBR,gtCzMlz
