Districts,UBIGEO,Area(km²),Population,Population density(/km²),Created,Postalcode,Unused_1,Unused_2
Ancón,150102,299.22,"29,419",98.3,29 October 1874,02,,
Ate,150103,77.72,"419,663","5,399.7",2 January 1857,03,,
Barranco,150104,3.33,"45,922","13,790.4",26 October 1874,04,,
Breña,150105,3.22,"94,808","29,443.5",15 July 1949,05,,
Carabayllo,150106,346.88,"188,764",544.2,4 August 1821,06,,
Chaclacayo,150107,39.5,"39,686","1,004.7",24 April 1940,08,,
Chorrillos,150108,38.94,"262,595","6,743.6",2 January 1857,09,,
Cieneguilla,150109,240.33,"15,784",65.7,3 March 1970,40,,
Comas,150110,48.75,"464,745","9,533.2",12 December 1961,07,,
El Agustino,150111,12.54,"165,425","13,191.8",6 January 1965,10,,
Independencia,150112,14.56,"197,308","13,551.4",16 March 1964,28,,
