Districts,UBIGEO,Area(km²),Population,Population density(/km²),Created,Postalcode
San Luis,150134,3.49,"46,258","13,254.4",30 May 1968,30
San Martín de Porres,150135,36.91,"525,155","14,228.0",22 May 1950,31
San Miguel,150136,10.72,"124,904","11,651.5",10 May 1920,32
Santa Anita,150137,10.69,"160,777","15,039.9",26 October 1989,43
Santa María del Mar District,150138,9.81,88,9.0,16 January 1962,37
Santa Rosa,150139,21.5,"9,379",436.2,7 February 1962,38
Santiago de Surco,150140,34.75,"272,690","7,847.2",16 December 1929,33
Surquillo,150141,3.46,"84,202","24,335.8",15 July 1949,34
Villa El Salvador,150142,35.46,"367,436","10,362.0",1 June 1983,42
Villa María del Triunfo,150143,70.57,"355,761","5,041.2",28 December 1961,35
