Season,Level,Division,Section,Position,Movements,Irrelevant_1
2004,Tier 3,Division 2,Västra Götaland,1st,Promotion Playoffs - Promoted,Xqkm34NK
2005,Tier 2,Superettan,,4th,,Pb8Dxv
2006*,Tier 2,Superettan,,6th,,3oJwO
2007,Tier 2,Superettan,,2nd,Promoted,FK9sQRa
2008,Tier 1,Allsvenskan,,14th,Relegation Playoffs - Relegated,iswGIKgi
2009,Tier 2,Superettan,,9th,,gHLRc
2010,Tier 2,Superettan,,6th,,XVeqAd5
2011,Tier 2,Superettan,,8th,,BtIwsrdr
2012,Tier 2,Superettan,,5th,,G3kLLgU
2013,Tier 2,Superettan,,9th,,h3Si34Tz
