Name,County,Population(2012 est.),Population(2010),Land area
Millwood,Spokane,"1,797","1,786",0.70 sq mi (1.8 km2)
Milton,PierceKing,"7,048","6,968",2.51 sq mi (6.5 km2)
Monroe,Snohomish,"17,503","17,304",6.05 sq mi (15.7 km2)
Montesano,Grays Harbor,"3,962","3,976",10.41 sq mi (27.0 km2)
Morton,Lewis,"1,132","1,126",0.82 sq mi (2.1 km2)
Moses Lake,Grant,"21,182","20,366",15.75 sq mi (40.8 km2)
Mossyrock,Lewis,764,759,0.68 sq mi (1.8 km2)
Mount Vernon,Skagit,"32,287","31,743",12.30 sq mi (31.9 km2)
Mountlake Terrace,Snohomish,"20,198","19,909",4.06 sq mi (10.5 km2)
Moxee,Yakima,"3,361","3,308",1.69 sq mi (4.4 km2)
Mukilteo,Snohomish,"20,605","20,254",6.40 sq mi (16.6 km2)
Napavine,Lewis,"1,778","1,766",2.38 sq mi (6.2 km2)
Newcastle,King,"10,792","10,380",4.45 sq mi (11.5 km2)
Newport,Pend Oreille,"2,116","2,126",1.07 sq mi (2.8 km2)
Nooksack,Whatcom,"1,355","1,338",0.70 sq mi (1.8 km2)
Normandy Park,King,"6,504","6,335",2.52 sq mi (6.5 km2)
North Bend,King,"6,030","5,731",4.27 sq mi (11.1 km2)
North Bonneville,Skamania,963,956,2.41 sq mi (6.2 km2)
Oak Harbor,Island,"22,260","22,075",9.42 sq mi (24.4 km2)
Oakville,Grays Harbor,682,684,0.50 sq mi (1.3 km2)
Ocean Shores,Grays Harbor,"5,622","5,569",8.51 sq mi (22.0 km2)
