Name,County,Population(2012 est.),Population(2010),Land area
Snoqualmie,King,"11,594","10,670",6.40 sq mi (16.6 km2)
Soap Lake,Grant,"1,550","1,514",1.25 sq mi (3.2 km2)
South Bend,Pacific,"1,631","1,637",1.62 sq mi (4.2 km2)
Spangle,Spokane,280,278,0.36 sq mi (0.93 km2)
Spokane,Spokane,"209,525","208,916",59.25 sq mi (153.5 km2)
Spokane Valley,Spokane,"90,641","89,755",37.77 sq mi (97.8 km2)
Sprague,Lincoln,441,446,0.63 sq mi (1.6 km2)
Stanwood,Snohomish,"6,422","6,231",2.82 sq mi (7.3 km2)
Stevenson,Skamania,"1,473","1,465",1.64 sq mi (4.2 km2)
Sultan,Snohomish,"4,710","4,651",3.15 sq mi (8.2 km2)
Sumas,Whatcom,"1,325","1,307",1.48 sq mi (3.8 km2)
Sumner,Pierce,"9,541","9,451",7.51 sq mi (19.5 km2)
Sunnyside,Yakima,"16,054","15,858",6.63 sq mi (17.2 km2)
Tacoma,Pierce,"202,010","198,397",49.72 sq mi (128.8 km2)
Tekoa,Whitman,787,778,1.14 sq mi (3.0 km2)
Tenino,Thurston,"1,724","1,695",1.44 sq mi (3.7 km2)
Tieton,Yakima,"1,211","1,191",0.82 sq mi (2.1 km2)
Toledo,Lewis,729,725,0.40 sq mi (1.0 km2)
Tonasket,Okanogan,"1,038","1,032",0.80 sq mi (2.1 km2)
Toppenish,Yakima,"9,017","8,949",2.09 sq mi (5.4 km2)
Tukwila,King,"19,611","19,107",9.17 sq mi (23.8 km2)
