Name,County,Population(2012 est.),Population(2010),Land area
Deer Park,Spokane,"3,673","3,652",6.88 sq mi (17.8 km2)
Des Moines,King,"30,449","29,673",6.50 sq mi (16.8 km2)
DuPont,Pierce,"8,808","8,199",5.86 sq mi (15.2 km2)
Duvall,King,"7,183","6,695",2.47 sq mi (6.4 km2)
East Wenatchee,Douglas,"13,439","13,190",3.80 sq mi (9.8 km2)
Edgewood,Pierce,"9,501","9,387",8.41 sq mi (21.8 km2)
Edmonds,Snohomish,"40,400","39,709",8.91 sq mi (23.1 km2)
Electric City,Grant,"1,004",968,1.70 sq mi (4.4 km2)
Ellensburg,Kittitas,"18,348","18,174",6.92 sq mi (17.9 km2)
Elma,Grays Harbor,"3,095","3,107",1.89 sq mi (4.9 km2)
Entiat,Chelan,"1,129","1,112",2.11 sq mi (5.5 km2)
Enumclaw,KingPierce,"11,327","10,669",4.26 sq mi (11.0 km2)
Ephrata,Grant,"7,916","7,664",10.09 sq mi (26.1 km2)
Everett,Snohomish,"104,655","103,019",33.45 sq mi (86.6 km2)
Everson,Whatcom,"2,513","2,481",1.24 sq mi (3.2 km2)
Federal Way,King,"91,933","89,306",22.26 sq mi (57.7 km2)
Ferndale,Whatcom,"11,998","11,415",6.61 sq mi (17.1 km2)
Fife,Pierce,"9,333","9,173",5.68 sq mi (14.7 km2)
Fircrest,Pierce,"6,579","6,497",1.58 sq mi (4.1 km2)
Forks,Clallam,"3,552","3,532",3.65 sq mi (9.5 km2)
George,Grant,514,501,1.33 sq mi (3.4 km2)
