Name,County,Population(2012 est.),Population(2010),Land area
Burien,King,"49,410","33,313",7.42 sq mi (19.2 km2)
Burlington,Skagit,"8,470","8,388",4.26 sq mi (11.0 km2)
Camas,Clark,"20,490","19,355",13.49 sq mi (34.9 km2)
Carnation,King,"1,823","1,786",1.16 sq mi (3.0 km2)
Cashmere,Chelan,"3,104","3,063",1.03 sq mi (2.7 km2)
Castle Rock,Cowlitz,"1,983","1,982",1.59 sq mi (4.1 km2)
Centralia,Lewis,"16,505","16,336",7.42 sq mi (19.2 km2)
Chehalis,Lewis,"7,298","7,259",5.53 sq mi (14.3 km2)
Chelan,Chelan,"3,945","3,890",6.29 sq mi (16.3 km2)
Cheney,Spokane,"11,018","10,590",4.27 sq mi (11.1 km2)
Chewelah,Stevens,"2,606","2,607",2.98 sq mi (7.7 km2)
Clarkston,Asotin,"7,283","7,229",2.01 sq mi (5.2 km2)
Cle Elum,Kittitas,"1,907","1,872",3.82 sq mi (9.9 km2)
Clyde Hill,King,"3,047","2,984",1.06 sq mi (2.7 km2)
Colfax,Whitman,"2,839","2,805",3.79 sq mi (9.8 km2)
College Place,Walla Walla,"8,884","8,765",2.66 sq mi (6.9 km2)
Colville,Stevens,"4,669","4,673",2.93 sq mi (7.6 km2)
Connell,Franklin,"5,421","4,209",7.87 sq mi (20.4 km2)
Cosmopolis,Grays Harbor,"1,643","1,649",1.33 sq mi (3.4 km2)
Covington,King,"18,298","17,575",5.86 sq mi (15.2 km2)
Davenport,Lincoln,"1,718","1,734",1.82 sq mi (4.7 km2)
Dayton,Columbia,"2,509","2,526",1.43 sq mi (3.7 km2)
