Name,County,Population(2012 est.),Population(2010),Land area
Lacey,Thurston,"43,860","42,393",16.06 sq mi (41.6 km2)
Lake Forest Park,King,"12,972","12,598",3.53 sq mi (9.1 km2)
Lake Stevens,Snohomish,"29,104","28,069",8.88 sq mi (23.0 km2)
Lakewood,Pierce,"58,852","58,163",17.17 sq mi (44.5 km2)
Langley,Island,"1,041","1,035",1.08 sq mi (2.8 km2)
Leavenworth,Chelan,"1,993","1,965",1.23 sq mi (3.2 km2)
Liberty Lake,Spokane,"7,889","7,591",6.14 sq mi (15.9 km2)
Long Beach,Pacific,"1,393","1,392",1.35 sq mi (3.5 km2)
Longview,Cowlitz,"36,458","36,648",14.48 sq mi (37.5 km2)
Lynden,Whatcom,"12,605","11,951",5.17 sq mi (13.4 km2)
Lynnwood,Snohomish,"36,275","35,836",7.84 sq mi (20.3 km2)
Mabton,Yakima,"2,324","2,286",0.80 sq mi (2.1 km2)
Maple Valley,King,"24,171","22,684",5.72 sq mi (14.8 km2)
Marysville,Snohomish,"62,402","60,020",20.68 sq mi (53.6 km2)
Mattawa,Grant,"4,543","4,437",0.74 sq mi (1.9 km2)
McCleary,Grays Harbor,"1,647","1,653",2.05 sq mi (5.3 km2)
Medical Lake,Spokane,"4,940","5,060",3.40 sq mi (8.8 km2)
Medina,King,"3,029","2,969",1.44 sq mi (3.7 km2)
Mercer Island,King,"23,661","22,699",6.32 sq mi (16.4 km2)
Mesa,Franklin,518,489,1.64 sq mi (4.2 km2)
Mill Creek,Snohomish,"18,671","18,244",4.67 sq mi (12.1 km2)
