Name,County,Population(2012 est.),Population(2010),Land area,Unused_1,Irrelevant_2,Noise_Field_3
Gig Harbor,Pierce,"7,549","7,126",5.95 sq mi (15.4 km2),,Nfrnua,oNoFaQ
Gold Bar,Snohomish,"2,101","2,075",1.03 sq mi (2.7 km2),,lZQzO5M,LfiIgyFP
Goldendale,Klickitat,"3,471","3,407",2.52 sq mi (6.5 km2),,0WQsdI,vXrUX
Grand Coulee,Grant,"1,044",988,1.19 sq mi (3.1 km2),,bCmQysqk,xbCkTZON
Grandview,Yakima,"11,012","10,862",6.23 sq mi (16.1 km2),,m8C1f,OGwmoFA
Granger,Yakima,"3,298","3,246",1.79 sq mi (4.6 km2),,okH9zYf,zjTddhW
Granite Falls,Snohomish,"3,416","3,364",2.18 sq mi (5.6 km2),,cYPkrsUt,ikVrkYcM
Harrington,Lincoln,420,424,0.38 sq mi (0.98 km2),,RFmNMKKJ,nyXBMT
Hoquiam,Grays Harbor,"8,535","8,726",9.02 sq mi (23.4 km2),,7DA0WbaT,zbReb
Ilwaco,Pacific,936,936,2.10 sq mi (5.4 km2),,RyWMt8p,SouDrmd
Issaquah,King,"32,633","30,434",11.38 sq mi (29.5 km2),,CA1sVo,wuTDzrY
Kahlotus,Franklin,204,193,0.47 sq mi (1.2 km2),,IQ3pp,waViJRDx
Kalama,Cowlitz,"2,346","2,344",2.77 sq mi (7.2 km2),,MkElw2,oEfldjND
Kelso,Cowlitz,"11,832","11,925",8.14 sq mi (21.1 km2),,Wf16Vf,IWSQoEP
Kenmore,King,"21,280","20,460",6.15 sq mi (15.9 km2),,Ehgm0Soj,fHRFpCGY
Kennewick,Benton,"75,971","73,917",26.93 sq mi (69.7 km2),,rsWr1U,uiYUzXp
Kent,King,"122,999","92,411",28.63 sq mi (74.2 km2),,7pzDZq,gbUsMRJ
Kettle Falls,Stevens,"1,593","1,595",1.07 sq mi (2.8 km2),,EGFsU8v3,opdUBOTm
Kirkland,King,"50,697","48,787",10.79 sq mi (27.9 km2),,qt6iubz0,KaoNsvkO
Kittitas,Kittitas,"1,405","1,381",0.76 sq mi (2.0 km2),,tpuWv,ZKUPAqDL
La Center,Clark,"2,852","2,800",1.27 sq mi (3.3 km2),,zGNDMmk,WOYcDu
