Name,County,Population(2012 est.),Population(2010),Land area
Raymond,Pacific,"2,883","2,882",4.06 sq mi (10.5 km2)
Redmond,King,"56,561","54,144",16.28 sq mi (42.2 km2)
Renton,King,"95,448","90,927",23.12 sq mi (59.9 km2)
Republic,Ferry,"1,093","1,073",1.59 sq mi (4.1 km2)
Richland,Benton,"51,440","48,058",35.72 sq mi (92.5 km2)
Ridgefield,Clark,"5,260","4,763",7.08 sq mi (18.3 km2)
Ritzville,Adams,"1,699","1,673",1.70 sq mi (4.4 km2)
Rock Island,Douglas,799,788,0.61 sq mi (1.6 km2)
Roslyn,Kittitas,910,893,4.37 sq mi (11.3 km2)
Roy,Pierce,803,793,0.49 sq mi (1.3 km2)
Royal City,Grant,"2,193","2,140",1.35 sq mi (3.5 km2)
Ruston,Pierce,759,749,0.26 sq mi (0.67 km2)
Sammamish,King,"49,069","45,780",18.22 sq mi (47.2 km2)
SeaTac,King,"27,667","26,909",10.03 sq mi (26.0 km2)
Seattle,King,"634,535","608,660",83.94 sq mi (217.4 km2)
Sedro-Woolley,Skagit,"10,636","10,540",3.81 sq mi (9.9 km2)
Selah,Yakima,"7,333","7,147",4.44 sq mi (11.5 km2)
Sequim,Clallam,"6,624","6,606",6.31 sq mi (16.3 km2)
Shelton,Mason,"9,800","9,834",5.76 sq mi (14.9 km2)
Shoreline,King,"54,352","53,007",11.67 sq mi (30.2 km2)
Snohomish,Snohomish,"9,275","9,098",3.44 sq mi (8.9 km2)
