Name,County,Population(2012 est.),Population(2010),Land area
Okanogan,Okanogan,"2,568","2,552",1.95 sq mi (5.1 km2)
Olympia,Thurston,"47,698","46,478",17.82 sq mi (46.2 km2)
Omak,Okanogan,"4,881","4,845",3.50 sq mi (9.1 km2)
Oroville,Okanogan,"1,698","1,686",1.64 sq mi (4.2 km2)
Orting,Pierce,"6,872","6,746",2.73 sq mi (7.1 km2)
Othello,Adams,"7,532","7,364",3.81 sq mi (9.9 km2)
Pacific,KingPierce,"6,838","6,606",2.42 sq mi (6.3 km2)
Palouse,Whitman,"1,011",998,1.08 sq mi (2.8 km2)
Pasco,Franklin,"65,398","59,781",30.50 sq mi (79.0 km2)
Pateros,Okanogan,673,667,0.49 sq mi (1.3 km2)
Pomeroy,Garfield,"1,422","1,425",1.78 sq mi (4.6 km2)
Port Angeles,Clallam,"19,056","19,038",10.70 sq mi (27.7 km2)
Port Orchard,Kitsap,"11,680","11,144",7.24 sq mi (18.8 km2)
Port Townsend,Jefferson,"9,117","9,113",6.98 sq mi (18.1 km2)
Poulsbo,Kitsap,"9,393","9,200",4.67 sq mi (12.1 km2)
Prescott,Walla Walla,323,318,0.40 sq mi (1.0 km2)
Prosser,Benton,"5,799","5,714",4.49 sq mi (11.6 km2)
Pullman,Whitman,"31,359","29,799",9.88 sq mi (25.6 km2)
Puyallup,Pierce,"38,147","37,022",13.93 sq mi (36.1 km2)
Quincy,Grant,"7,013","6,750",4.96 sq mi (12.8 km2)
Rainier,Thurston,"1,826","1,794",1.73 sq mi (4.5 km2)
