Name,County,Population(2012 est.),Population(2010),Land area
Aberdeen,Grays Harbor,"16,529","16,896",10.65 sq mi (27.6 km2)
Airway Heights,Spokane,"6,363","6,114",5.63 sq mi (14.6 km2)
Algona,King,"3,074","3,015",1.29 sq mi (3.3 km2)
Anacortes,Skagit,"15,928","15,778",11.75 sq mi (30.4 km2)
Arlington,Snohomish,"18,317","17,926",9.25 sq mi (24.0 km2)
Asotin,Asotin,"1,270","1,251",1.05 sq mi (2.7 km2)
Auburn,KingPierce,"73,505","70,180",29.62 sq mi (76.7 km2)
Bainbridge Island,Kitsap,"23,263","23,025",27.61 sq mi (71.5 km2)
Battle Ground,Clark,"18,044","17,571",7.16 sq mi (18.5 km2)
Bellevue,King,"126,439","122,363",31.97 sq mi (82.8 km2)
Bellingham,Whatcom,"82,234","80,885",27.08 sq mi (70.1 km2)
Benton City,Benton,"3,134","3,038",2.46 sq mi (6.4 km2)
Bingen,Klickitat,724,712,0.62 sq mi (1.6 km2)
Black Diamond,King,"4,237","4,151",6.01 sq mi (15.6 km2)
Blaine,Whatcom,"4,744","4,684",5.63 sq mi (14.6 km2)
Bonney Lake,Pierce,"17,964","17,374",7.94 sq mi (20.6 km2)
Bothell,KingSnohomish,"34,651","33,505",12.11 sq mi (31.4 km2)
Bremerton,Kitsap,"39,251","37,729",28.41 sq mi (73.6 km2)
Brewster,Okanogan,"2,386","2,370",1.19 sq mi (3.1 km2)
Bridgeport,Douglas,"2,444","2,409",1.05 sq mi (2.7 km2)
Brier,Snohomish,"6,251","6,087",2.13 sq mi (5.5 km2)
Buckley,Pierce,"4,402","4,354",3.87 sq mi (10.0 km2)
