Year 1958,Title {the rebel,Role,Notes,Irrelevant_1,Extra_Data_2,Unused_3
1973 and 1975,The Odd Couple,Dr. Clove/Hugo Lovelace,2 episodes,DG1Snqh,557,
1976,Ellery Queen,Dr. Friedland,1 episode,iYAHzT,885,
1976,The Tony Randall Show,Judge Bernard Gluck,1 episode,RgiBbS,934,
1976,Alice,Mr. James,1 episode,iKh26p,331,
1977,The Hardy Boys/Nancy Drew Mysteries,Seth Taylor,1 episode,pitACX,384,
1979,Supertrain,Misto,1 episode,UUIPZL,877,
1979,Man from Atlantis,Dr. Schubert,9 episodes,3cddE,585,
1980,Taxi,James Caldwell,1 episode,8MFek6,183,
1980,Fantasy Island,Dr. Albert Z. Fell,1 episode,ziiK3QA,583,
1980–1981,Vega$,"\Diamond\"" Jim""",4 episodes,Sk6ny,445,
1981,Here's Boomer,Dr. Frankenstein,1 episode,1RlPF,605,
