Year 1958,Title {the rebel,Role,Notes,Irrelevant_1,Unused_2,Dummy_Col_3
1966,I Spy,Karafatma,1 episode,FqynhrhU,,pprOYhB
1967,The Girl from U.N.C.L.E.,Sir Cecil Seabrook,1 episode,9kQ0RtXR,,zQnlH
1967,T.H.E. Cat,General Burek,1 episode,VTRHR,,gIgaA
1967,Daniel Boone,Milo Quaife,1 episode,dlwoP,,XwQqmfX
1968,The Wild Wild West,Count Mario Vincenzo Robespierre Manzeppi,2 episodes,ihsrqpp,,hbejDY
1969,The Flying Nun,"Marko \The Magnificent\"" Antonio""",1 episode,Jkpx6s9,,fSmgjfK
1969,Here's Lucy,Mr. Vermillion,1 episode,NahnnR0T,,uggyt
1969,It Takes a Thief,Mr. Kent,1 episode,ijWgSX,,ZzpnKy
1970,Get Smart,Hannibal Day,1 episode,pt2oK,,mKttSovE
1970,"O'Hara, U.S. Treasury",Al Connors,1 episode,QMbxO,,TkTjDNrQ
1973,Mannix,Hamilton Starr,1 episode,qaOC5A,,IHxKL
1973,Hawaii Five-O,Eric Damien,1 episode,OG1sTo,,CkXcUi
