Number,South or west terminus,North or east terminus,Length (mi),Length (km),Formed,Deleted,Notes
SR-63,Bryce Canyon National Park,SR-12 near Tropic Junction,2.630,4.233,1975,current,
SR-63,,,,,1930s,1971,
SR-64,I-15 south of Holden,US-50 in Holden,2.015,3.243,1975,current,Formerly part of US-91
SR-64,Arizona state line near St. George,US-91 in St. George,,,1930s,1969,No longer part of state highway network
SR-65,I-80 (Exit 134) near Mountain Dell Reservoir,I-84 (Exit 115) in Henefer,28.315,45.569,1930s,current,
SR-66,SR-65 (East Canyon Road) northwest of East Canyon Reservoir,I-84 (Exit 103) in Morgan,14.901,23.981,1930s,current,
SR-67,I-215 near North Salt Lake,I-15/US-89 ind Farmington,11.500,18.507,2008,current,Also signed as Legacy Parkway
SR-67,US-6 at Tintic Junction,SR-36 near Tintic Junction,,,1975,1991,"Connector between SR-36 and US-6, now part of SR-36"
SR-67,Dixie State University,Dixie State University,,,1962,1969,"Legislative designation for state maintained roads at Dixie State University, Now SR-281"
SR-67,,,,,1930s,1962,Legislative designation for portion of modern I-80
SR-68,US-6 at Elberta,US-89 in Woods Cross,70.832,113.993,1930s,current,
SR-69,"US-89 in Brigham City, Utah",Collinston,,,1930s,1993,Renumbered SR-38
I-70,I-15 near Cove Fort,"Colorado state line near Fruita, Colorado",231.673,372.842,1977,current,
SR-70,"Nevada State Route 30 at the Nevada state line near Montello, Nevada",US-30S near Snowville,,,1930s,1977,Now part of SR-30
SR-71,SR-154 in Riverton,SR-186 in Salt Lake City,22.465,36.154,1930s,current,
SR-72,SR-24 in Loa,I-70/US-50/SR-10 near Fremont Junction,35.362,56.910,1930s,current,
SR-73,SR-36 northeast of St. John Station (near Stockton & Rush Valley),US-89 (State Street) in Lehi,41.177,66.268,1930s,current,
SR-74,US-89 (East Main Street) in American Fork,Immediately southwest of Canyon Crest Road in Alpine,5.058,8.140,1930s,current,
SR-75,I-15 in Springville,US-89 Springville,2.023,3.256,1962,current,
SR-75,,,,,1930s,1953,
SR-76,I-70 (Exit 86) west of Fremont Junction,SR-72 at Fremont Junction,2.431,3.912,1977,current,Formerly part of SR-10
SR-76,Paragonah,Parowan,,,1968,1969,"Formerly part of US-91, now part of SR-271"
SR-76,,,,,1930s,1963,
SR-77,SR-147 north of Benjamin,US-89 in Springville,9.069,14.595,1962,current,
SR-77,,,,,1930s,1953,
SR-78,I-15 near Mills Junction (Juab County),SR-28 in Levan,9.418,15.157,1977,current,
SR-78,Orem,Orem,,,1930s,1969,800 South in Orem
SR-79,SR-126 west of Ogden,SR-203 in Ogden,4.171,6.713,1958,current,
SR-79,,,,,1930s,1953,
I-80,Nevada state line at Wendover,"Wyoming state line near Evanston, Wyoming",196.680,316.526,1977,current,
SR-80,US-89 near American Fork,US-189 in Provo Canyon,27.272,43.890,1930s,1977,Renumbered SR-92
I-80N,Idaho state line near Snowville,Interstate 80 near Echo,119.773,192.756,1956,1981,Renumbered I-84
SR-81,SR-30 south of Fielding,Main Street in Fielding,2.475,3.983,1930s,current,
SR-82,SR-102 in Tremonton,SR-13 east of Garland,3.178,5.114,1930s,current,
SR-83,SR-13 in Corinne,I-84 at Howell,31.714,51.039,1930s,current,
I-84,Idaho state line near Snowville,Interstate 80 near Echo,119.773,192.756,1977,current,
SR-84,,,,,1930s,1977,Now part of SR-126
SR-85,I-15 in Brigham City,US-89 in Brigham City,,,1962,1977,Now part of U.S. Route 91
SR-85,Riverside,near Riverside,,,1930s,1953,Now part of SR-30
SR-85,I-15 in Lehi,I-80 Salt Lake City,,,2012,current,Portions south of Porter Rockwell Boulevard and north of 5400 South not yet completeWill eventually be a limited access freeway for entire length
SR-86,I-84,SR-65 at Henefer,2.141,3.446,1975,current,
SR-86,,,,,1935,1969,
SR-87,US-40 in Duchesne,US-40 southwest of Roosevelt,38.159,61.411,1930s,current,
SR-88,South of Ouray,US-40 east of Fort Duchesne,16.996,27.352,1930s,current,
US-89,"Arizona state line near Page, Arizona",Idaho state line at Bear Lake,502.577,808.819,1977,current,
SR-89,,,,,1975,1977,
SR-89,Francis,Francis,,,1930s,1953,
US-89A,Arizona state line near Kanab,US-89 at Kanab,2.94,4.73,2008,current,Replaced SR-11
