Number,South or west terminus,North or east terminus,Length (mi),Length (km),Formed,Deleted,Notes,Unused_1,Random_Column_2,Irrelevant_3
SR-124,Horse Canyon Mine,SR-123,7.956,12.804,1930s,current,,,sUnrq,ylnsY8
SR-125,US-50/SR-136 east of Delta,SR-132 near Leamington,21.855,35.172,1930s,current,,,M8WCw,4CSip0US
SR-126,I-15 south of Layton,US-89 at Hot Springs Junction near Pleasant View,21.609,34.776,1977,current,,,3xFW8DHy,VDBgMA
SR-126,Greenville,Greenville,,,1930s,1969,No longer part of the state route system,,633dcSv,SViJY
SR-127,SR-110,SR-108 in Syracuse,2.507,4.035,1965,current,,,NHWfGi,V1frEcmg
SR-127,Parowan,near Lund,,,1930s,1953,No longer part of the state route system,,IujIaY,l7pQxsFn
SR-128,US-191 near Moab,I-70 near Cisco,44.564,71.719,1930s,current,,,43ra8tE,B7ctN
SR-129,Riverside,Tremonton,,,1983,1989,,,jfeQi5fm,aOdKHZ
SR-129,Milford,Milford,,,1930s,1969,,,o92XrdE,L36kPN
SR-130,I-15 south of Cedar City,SR-21 north of Minersville,43.076,69.324,1930s,current,,,2kx9OpRv,uhdo33k
SR-131,Woods Cross,,,,1933,1969,,,Wb1Umc,Yg6IxsZ
SR-132,US-6 in Lynndyl,US-89 at Pigeon Hollow Junction,63.132,101.601,1930s,current,,,mtoLFQmx,zMzWu
SR-133,South of Kanosh,I-15 north of Meadow,7.183,11.560,1969,current,,,QTuGCZ3,4GKR3wh
SR-133,,,,,1930s,1969,,,tJQfR,lm7sCX
SR-134,SR-37 at Kanesville,SR-235 in North Ogden,14.304,23.020,1977,current,,,GG3J5k,LT114qjp
SR-134,,,,,1930s,1969,,,ynpTEo,yKcxTiz
SR-134,,,,,1969,1992,,,kVBIKm4,gkZO3p
SR-135,,,,,1930s,1969,,,13gOjHQ,hb6nYh
SR-136,US-50/SR-125 east of Delta,US-6,3.059,4.923,1985,current,,,Uj6WRl,YeRHg
SR-136,,,,,1930s,1969,,,yDinxj,eYpWNLgF
SR-137,US-89 in Gunnison,US-89 east of Gunnison,11.357,18.277,1930s,current,,,9kMFUlKB,lxOMa
SR-138,I-80,SR-36 at Mills Junction (Tooele County),20.444,32.901,1965,current,,,gqIN4fr,8SJqT
SR-138,,,,,1930s,1953,,,G6t4G,WdGSyQv
SR-139,US-6/US-191,SR-157 near Spring Glen,1.408,2.266,1930s,current,,,SCbe1sB,SLpt6X
SR-140,SR-68 at Bluffdale,I-15,2.559,4.118,1984,current,,,qsjytdgh,of1PBna1
SR-140,Hinckley,Deseret,,,1930s,1969,,,enl9aFR,5JLeR7Ev
SR-141,US-6 in Genola,SR-147 west of Payson,6.623,10.659,1969,current,,,B4hmgqjD,eZrOj
SR-141,,,,,1930s,1969,,,VpbRYt,WtpWWy
SR-142,SR-23 near Newton,US-91 in Richmond,17.353,27.927,1930s,current,,,H63Dh,Ux1gve
SR-143,I-15 west of Parowan,US-89 in Panguitch,51.206,82.408,1930s,current,,,0ImH0ck,BwUYVTFo
SR-144,SR-92 in American Fork Canyon,Tibble Fork Reservoir,2.478,3.988,1978,current,,,IpODVC,QQytJ7P
SR-144,,,,,1930s,1969,,,MNRXD,lfjGgLv
SR-145,SR-68 in Saratoga Springs,US-89 in American Fork,5.717,9.201,1978,current,,,KzdWWi,6yZPqY
SR-145,,,,,1930s,1969,,,pArplywn,JfhmfFL
SR-146,US-89 at Pleasant Grove,SR-92 near American Fork Canyon,5.306,8.539,1930s,current,,,VRWal2HU,Mewl3CmR
SR-147,SR-141 at McBeth Corner (near Payson),US-89,18.175,29.250,1930s,current,,,CnfFx,bGKZ1Em
SR-148,SR-14,Cedar Breaks National Monument,2.544,4.094,1985,current,,,FiQNm,lAF5I
SR-148,US-6 in Lynndyl,Leamington,,,1930s,1969,Now part of SR-132,,nmgDSs,De9aJWay
SR-149,US-40 at Jensen,Dinosaur National Monument,4.219,6.790,1930s,current,,,Gj7S8S,Psidg
SR-150,SR-32 in Kamas,"Wyoming Highway 150 at the Wyoming state line near Evanston, Wyoming",54.742,88.099,1930s,current,,,ceyE4zrW,SjR5c5Fv
SR-151,SR-154,I-15,4.235,6.816,1987,current,,,gDxGW,iLwNvx01
SR-151,US-40 in Hailstone,Keetley,,,1930s,1977,,,3DOxnhZ,gEnae
SR-152,SR-71,I-215,3.044,4.899,1930s,current,,,3WKRMtp,iTHNCVJy
SR-153,SR-160 in Beaver,US-89 in Junction,40.488,65.159,1930s,current,,,ayMq7,gYTwkr
SR-154,I-15,I-80 near Salt Lake City International Airport,24.319,39.138,1989,current,Also known as the Bangerter Highway,,O5B9q,1K9SyBOw
SR-154,Garland,Garland,,,1930s,1969,Garland Road,,wCedwF,7RYHpr
SR-155,SR-10 in Huntington,SR-10 at Washboard Junction (near Cleveland),10.718,17.249,1930s,current,,,4Y2BfMgB,Z2UHnd
SR-156,SR-198 in Spanish Fork,I-15,1.382,2.224,1962,current,,,ebNn2,K7twK9X
