Number,South or west terminus,North or east terminus,Length (mi),Length (km),Formed,Deleted,Notes
SR-90,SR-13 in Brigham City,US-89/US-91,1.178,1.896,1975,current,
SR-90,,,,,1948,1969,
SR-90,,,,,1930s,1947,
US-91,I-15 near Brigham City,"Idaho state line near Franklin, Idaho",45.271,72.857,1977,current,
SR-91,,,,,1930s,1969,
SR-92,I-15 in Lehi,US-189 in Provo Canyon,27.272,43.890,1977,current,Renumbered from SR-80
SR-92,,,,,1930s,1969,
SR-93,I-15 south of Woods Cross,US-89,0.365,0.587,1961,current,
SR-93,,,,,1930s,1953,
SR-94,I-70,Thompson,0.958,1.542,1969,current,
SR-94,,,,,1930s,1969,
SR-95,SR-24 east of Hanksville,US-191 south of Blanding,121.351,195.296,1930s,current,
SR-96,Clear Creek,US-6 near Colton,22.759,36.627,1930s,current,
SR-97,SR-37 in Hooper,Hill Air Force Base,5.347,8.605,1965,current,
SR-97,Park City,Park City,,,1930s,1963,Now part of SR-224
SR-98,,,,,1969,2000,
SR-97,,,,,1930s,1969,
SR-99,I-15 south of Fillmore,I-15 north of Fillmore,4.193,6.748,1969,current,
SR-99,,,,,1930s,1969,
SR-100,SR-99 in Fillmore,US-50 west of Holden,16.934,27.253,1930s,current,
SR-101,SR-23 in Wellsville,Hardware Ranch,21.811,35.101,1930s,current,
SR-102,SR-83 east of Lampo Junction (near Promontory),SR-38,20.072,32.303,1930s,current,
SR-103,SR-126 (North Main Street) in Clearfield,West Gate of Hill Air Force Base,0.225,0.362,1965,current,
SR-103,,,,,1930s,1964,
SR-104,SR-126,SR-204 in Ogden,2.492,4.010,1930s,current,
SR-105,I-15,SR-106 in Centerville,0.695,1.118,1965,current,
SR-105,Santaquin,Spanish Fork,,,1930s,1964,"Legislative designation for a portion of US-6, now part of SR-198"
SR-106,I-15 west of Bountiful,US-89 in Farmington,9.426,15.170,1930s,current,
SR-107,SR-110 west of West Point,SR-126 in Clearfield,4.517,7.269,1930s,current,
SR-108,I-15 in Layton,SR-126,12.920,20.793,1930s,current,
SR-109,SR-126,US-89 in Layton,2.962,4.767,1930s,current,
SR-110,SR-127 west of Syracuse,SR-37 west of Clinton,3.495,5.625,1969,current,
SR-110,Kaysville,Kaysville,,,1930s,1969,
SR-111,SR-48 east of Copperton,SR-201 northeast of Magna,10.596,17.053,1930s,current,
SR-112,SR-138 east of Grantsville,SR-36 in Tooele,8.603,13.845,1930s,current,
SR-113,US-189 in Charleston,US-40 in Heber City,7.141,11.492,1930s,current,
SR-114,US-89 (500 West) in Provo,US-89 (State Street) in Pleasant Grove,10.787,17.360,1930s,current,
SR-115,SR-198 in Payson,SR-156 in Spanish Fork,8.247,13.272,1930s,current,
SR-116,SR-132 in Moroni,US-89 in Mount Pleasant,7.061,11.364,1930s,current,
SR-117,Wales,US-89,12.192,19.621,1966,current,
SR-117,SR-12 in Teasdale,Grover,,,1930s,1966,No longer part of state route system
SR-118,I-70/US-89,SR-24 near Sigurd,24.137,38.845,1930s,current,
SR-119,SR-118 in Richfield,SR-24 at Kings Meadow Canyon,8.753,14.087,1930s,current,
SR-120,I-70/US-89,I-70/US-89 north of Richfield,3.886,6.254,1969,current,
SR-120,,,,,1930s,1969,
SR-121,US-40 in Roosevelt,US-40 in Vernal,40.293,64.845,1930s,current,
SR-122,Near Hiawatha,SR-10,8.751,14.083,1930s,current,
SR-123,US-6/US-191 at Sunnyside Junction,Sunnyside,11.421,18.380,1930s,current,
