Number,South or west terminus,North or east terminus,Length (mi),Length (km),Formed,Deleted,Notes
SR-241,SR-114 in Orem,I-15 in Orem,0.415,0.668,1969,current,
SR-241,,,,,1947,1969,
SR-242,,,,,1949,1969,
SR-243,US-89 in Logan Canyon,Beaver Mountain Ski Resort,1.427,2.297,1953,current,
SR-244,US-6/US-191 in Helper,US-6/US-191 in Helper,0.910,1.465,1953,2013,The Poplar Street portion of the former highway was added to SR-157.
SR-245,,,,,1953,1969,
SR-246,,,,,1953,1969,
SR-247,,,,,1953,1985,
SR-248,SR-224 at Park City Junction,SR-32 in Kamas,14.481,23.305,1953,current,
SR-249,,,,,1953,1969,
SR-250,,,,,1953,1969,
SR-251,,,,,1953,1969,
SR-252,US-89/US-91 in Logan,US-91 in Logan,6.755,10.871,2007,current,
SR-252,,,,,1953,1969,
SR-253,,,,,1953,1969,
SR-254,,,,,1953,1969,
SR-255,,,,,1953,1969,
SR-256,US-89 north of Salina,US-89 south of Axtell,5.595,9.004,1969,current,
SR-256,,,,,1955,1969,
SR-257,SR-21 at Milford,US-6 near Hinckley,69.246,111.441,1955,current,
SR-258,I-70/US-89 near Elsinore,SR-118 east of Elsinore,2.022,3.254,1957,current,
SR-259,SR-24 near Sigurd,I-70,0.345,0.555,1992,current,
SR-259,,,,,1957,1977,
SR-260,SR-24 south of Aurora,US-50 west of Salina,4.179,6.725,1993,current,
SR-260,,,,,1957,1981,
SR-261,US-163 north of Mexican Hat,SR-95 east of Natural Bridges National Monument,32.691,52.611,1957,current,
SR-262,US-191 north of Bluff,SR-162 in Montezuma Creek,22.605,36.379,1958,current,
SR-263,,,,,1969,1985,
SR-263,,,,,1959,1969,
SR-264,SR-31,SR-96 south of Scofield,15.373,24.740,1985,current,
SR-264,,,,,1959,1969,
SR-265,SR-114 in Orem,US-189 in Provo,4.336,6.978,1961,current,
SR-266,I-215,I-215,8.120,13.068,1961,current,
SR-267,,,,,1966,1969,
SR-267,,,,,1959,1964,
SR-268,I-15,US-89 in Salt Lake City,0.734,1.181,1960,current,
SR-269,I-15/I-80,US-89 in Salt Lake City,0.904,1.455,1960,current,
SR-270,I-15/I-80,SR-186 in Salt Lake City,0.749,1.205,1960,current,
SR-271,SR-274 in Parowan,I-15 north of Paragonah,5.647,9.088,1977,current,
SR-271,,,,,1964,1977,
SR-272,,,,,1969,2001,
SR-273,US-89 north of Farmington,I-15 in Kaysville,3.084,4.963,1969,current,
SR-274,SR-143 in Parowan,I-15 north of Parowan,1.257,2.023,1975,current,
SR-275,SR-95,Natural Bridges National Monument,3.818,6.144,1975,current,
SR-276,SR-95 north of Glen Canyon National Recreation Area,SR-95 east of Glen Canyon National Recreation Area,89.814,144.542,1965,current,
SR-277,,,,,1964,1986,
SR-278,,,,,1961,1975,
SR-279,Potash Plant along the Colorado River,US-191 north of Moab,15.178,24.427,1961,current,
