Number,South or west terminus,North or east terminus,Length (mi),Length (km),Formed,Deleted,Notes
SR-1,Arizona state line near St. George,"Idaho state line near Malad, Idaho",400.592,644.690,1962,1977,Legislative designation for I-15
SR-1,"Arizona state line near Littlefield, Arizona","Idaho state line near Franklin, Idaho",,,1920s,1962,Legislative designation for US-91
SR-2,Nevada state line in Wendover,"Wyoming state line near Evanston, Wyoming",196.680,316.526,1962,1977,Legislative designation for I-80
SR-2,SR-1 (US-91),Garden City,,,1920s,1962,Legislative designation for US-89 through Logan Canyon
SR-3,Idaho state line near Snowville,I-80 in Echo,196.680,316.526,1962,1977,Legislative designation for I-84
SR-3,"Idaho state line near Montpelier, Idaho","Wyoming state line near Evanston, Wyoming",,,1920s,1962,Now SR-16 and a portion of US-89
SR-4,I-15 near Cove Fort,"Colorado State line near Fruita, Colorado",231.673,372.842,1962,1977,Legislative designation for I-70
SR-4,Nevada state line in Wendover,"Wyoming state line near Evanston, Wyoming",196.680,316.526,1920s,1962,"Legislative designation for modern I-80, then US-40, US-530 and US-30S"
SR-5,I-80 in Salt Lake City,I-15 in North Salt Lake,28.946,46.584,1962,1977,Legislative designation for I-215
SR-5,"Idaho state line near Malta, Idaho",US-530 near Echo,196.680,316.526,1920s,1962,"Legislative designation for modern I-84, then a portion of US-30S"
US-6,"Nevada state line near Baker, Nevada","Colorado state line near Fruita, Colorado",373.963,601.835,1977,current,
SR-6,US-40 near Park City,"Colorado state line near Dinosaur, Colorado",,,1920s,1977,Legislative designation for US-40 in eastern Utah
SR-7,I-15 (Exit 2) in St. George,Airport Parkway in St. George,7.123,11.463,2009,current,Southern Parkway
SR-7,US-89 in Provo,US-40 in Heber City,,,1920s,1977,Legislative designation for US-189
SR-8,SR-18 (Bluff Street) in St. George,Dixie Downs Road/Dixie Drive in St. George,1.303,2.097,1991,current,Sunset Boulevard
SR-8,US-91 in Springville,"Colorado state line near Fruita, Colorado",,,1920s,1977,Legislative designation for US-6/US-50 in eastern Utah
SR-9,I-15 at Harrisburg Junction (near La Verkin),US-89 (State Street) at Mount Carmel Junction,57.075,91.853,1977,current,Renumbered from SR-15
SR-9,US-50 at Crescent Junction,"Colorado state line near Dove Creek, Colorado",,,1920s,1977,Modern U.S. Route 191 and U.S. Route 491
SR-10,I-70/US-50/SR-72 (Exit 91) east of Fremont Junction,SR-55 (100 North) in Price,68.816,110.749,1920s,current,
SR-11,"U.S. Route 89A at the Arizona state line near Fredonia, Arizona",US-89 in Kanab,2.945,4.740,1920s,2008,"Now US-89A, originally SR-11 extended north of Kanab towards Nephi"
SR-12,US-89 at Bryce Canyon Junction south east of Panguitch,SR-24 east of Torrey,122.863,197.729,1920s,current,
SR-13,US-89/US-91 (1100 South) in Brigham City,I-15 (Exit 392) northwest of Plymouth,32.841,52.852,1977,current,Old routing of US-191
SR-13,U.S. Route 91 in Logan,Bear Lake,,,1962,1977,Legislative designation for US-89 through Logan Canyon
SR-13,U.S. Route 91 at Cove Fort,US-89 near Joseph,,,1920s,1962,Now part of I-70
SR-14,SR-56/SR-130 (Main Street) in Cedar City,US-89 at Long Valley Junction east of Duck Creek Village,40.995,65.975,1920s,current,
I-15,Arizona state line near St. George,"Idaho state line near Malad, Idaho",400.592,644.690,1977,current,
SR-15,I-15 at Harrisburg Junction (near La Verkin),US-89 at Mount Carmel Junction,57.075,91.853,1920s,1977,Renumbered to SR-9
SR-16,"Wyoming Highway 89 at the Wyoming state line near Evanston, Wyoming",SR-30 at Sage Creek Junction (Bear Lake),29.359,47.249,1962,current,
SR-16,SR-18 in Enterprise,SR-56 in Newcastle,,,1935,1955,
SR-16,La Verkin,"Arizona state line near Short Creek, Arizona",,,1920s,1935,Modern SR-59
SR-17,SR-9 in La Verkin,I-15 at Anderson Junction,6.060,9.753,1930s,current,
SR-17,Brigham City,Idaho state line near Portage,,,1920s,1927,part of modern SR-13
SR-18,I-15 in St. George,SR-56 at Beryl Junction,51.005,82.085,1930s,current,
SR-19,I-70/US-6/US-50/US-191 west of Green River,I-70/US-6/US-50/US-191 near Elgin (Green River),4.552,7.326,1969,current,Old routing of US-6/US-50
SR-19,Ceder City,Lund,,,1930s,1969,No longer part of the state highway network
SR-20,I-15 north of Paragonah,US-89 at Orton (Bear Valley Junction),20.492,32.979,1930s,current,
SR-21,"Nevada State Route 487 at the Nevada state line near Baker, Nevada",SR-160 in Beaver,107.343,172.752,1930s,current,
SR-22,Antimony,SR-62,6.852,11.027,1930s,current,
SR-23,US-89/US-91 south of Wellsville,"County Road D1 at the Idaho state line near Weston, Idaho",29.890,48.103,1953,current,
SR-23,Widtsoe,Escalante,,,1930s,1947,Now part of SR-12
SR-24,US-50 near Salina,I-70/US-50 west of Green River,160.243,257.886,1930s,current,
SR-25,SR-24 at Fish Lake Junction,Bowery Haven Resort (Fish Lake),9.995,16.085,1930s,current,
SR-26,SR-126 in Roy,US-89 in Ogden,3.724,5.993,1977,current,
SR-26,US-50 in Delta,US-89 in Salina,,,1930s,1977,Now part of US-50
SR-27,"Nevada state line near Baker, Nevada",US-91 near Santaquin,,,1930s,1977,Legislative designation for US-6 in western Utah
SR-28,US-89 in Gunnison,I-15 north of Nephi,43.612,70.187,1930s,current,
SR-29,Joes Valley Reservoir,SR-10 north of Castle Dale,21.732,34.974,1930s,current,
SR-30,"Nevada State Route 233 at the Nevada state line near Montello, Nevada","Wyoming Highway 89 at the Wyoming state line near Kemmerer, Wyoming",135.620,218.259,1966,current,
