Number,South or west terminus,North or east terminus,Length (mi),Length (km),Formed,Deleted,Notes,Irrelevant_1
SR-180,near Ophir,near Ophir,,,1930s,1961,,rh9RB
SR-181,SR-152,SR-186 in Salt Lake City,6.904,11.111,1935,2007,,6SceGva
SR-181A,University of Utah,University of Utah,,,1930s,1969,"Legislative designation for roads on the university campus, now SR-282",0ilEwJHu
SR-182,Utah Schools for the Deaf and the Blind,Utah Schools for the Deaf and the Blind,,,1930s,1969,"Legislative designation for roads on the campus, now SR-291",4w9pi
SR-182A,College of Eastern Utah,College of Eastern Utah,,,1930s,1969,"Legislative designation for roads on the campus, now SR-283",M9QelB
SR-183,Utah State Industrial School (now the campus of Ogden–Weber Applied Technology College),Utah State Industrial School,,,1930s,1969,"Legislative designation for roads on the campus, now SR-291",KIsdPC
SR-183A,Utah Schools for the Deaf and the Blind,Utah Schools for the Deaf and the Blind,,,1945,1969,"Legislative designation for roads on the campus, now SR-291",IplBUza
SR-184,US-89 in Salt Lake City,US-89,1.946,3.132,1963,2008,,bgNwJ
SR-184A,Weber State University,Weber State University,,,1930s,1969,"Legislative designation for roads on the campus, now SR-284",qRYMs
SR-185,,,,,1930s,1969,,T1ey1yW
SR-186,US-89 in Salt Lake City,I-80 near Parley's Canyon,12.355,19.883,1930s,current,,fJBB4rr
SR-187,,,,,1930s,1969,,L9TL2H
SR-188,,,,,1930s,1969,,5cpmsaS
US-189,I-15 (Exit 263) in Provo,"Wyoming state line near Evanston, Wyoming (concurrent with I-80",29.216,47.019,1977,Current,"Mileage only includes the independent section between Provo and Heber City, does not include portion concurrent with other routes.",mhxpgtq4
SR-189,,,,,1930s,1969,,UbMU2w
SR-190,I-215 at Knudsen's Corner (Holladay),East of Brighton,19.934,32.081,1987,current,,m5e5qsN0
SR-190,,,,,1930s,1969,,eECM220C
US-191,Arizona state line near Bluff,Wyoming state line at Flaming Gorge,404.168,650.445,1977,Current,,tgfcen
SR-191,,,,,1930s,1953,,DuIco3Ya
SR-192,,,,,1930s,1953,,AIi7b
SR-193,SR-126 in Clearfield,US-89,5.669,9.123,1930s,current,,aI468b
SR-194,,,,,1948,1969,,BWJEzxI
SR-194,,,,,1930s,1947,,afqOdUY
SR-195,SR-266 (4500 South),Alternate US-40 (subsequently I-80 [Exit 127]),2.566,4.130,1948,2007,,YBylj
SR-195,,,,,1930s,1947,,CBQfN
SR-196,SR-199 immediately east of Dugway Proving Grounds,I-80 (Exit 77) t Rowley Junction,36.922,59.420,1998,current,,dtZvM
SR-196,,,,,1930s,1969,,S1BCqw
SR-197,SR-73,US-89 in Lehi,1.083,1.743,1930s,current,,Wy0qatL
SR-198,I-15 (Exit 244) in east Santaquin,US-6 at Moark Junction in west Spanish Fork,15.715,25.291,1995,current,,DZknf
SR-198,Deseret Chemical Depot,Deseret Chemical Depot,,,1930s,1969,Now part of SR-73,1BCtmU
SR-199,Dugway Proving Grounds,SR-36,21.960,35.341,1969,current,,ONDbx
SR-199,,,,,1930s,1969,,4MS4c5il
SR-200,SR-61 in Lewiston,"Idaho state line near Preston, Idaho",1.565,2.519,1930s,current,,OBZgS53
SR-201,I-80 (Exit 102) at Lake Point Junction near Magna,Salt Lake City,16.699,26.874,1930s,current,Eastern half of the highway commonly referred to as the 21st South Freeway,QfS7s8W
SR-202,SR-201 (2400 South) west of Magna,I-80 (Exit 104),1.907,3.069,1969,current,,zIufmg
SR-202,,,,,1961,1967,,l0B1GC
SR-202,,,,,1930s,1953,,W9vty
SR-203,US-89 near Uintah,SR-39,6.137,9.877,1930s,current,,h4MS5Tk
SR-204,SR-26 in Ogden,US-89,5.419,8.721,1930s,current,,uIwMrt
SR-205,,,,,1930s,1953,,955gTmi
SR-205,SR-104 (former alignment on Wilson Avenue) in Ogden,SR-204 (Wall Avenue) in Ogden,1.2,1.9,1965,1969,Now part of SR-104,DLgsGt
SR-205,,,,,1963,1964,,VIkstY
SR-206,,,,,1930s,1969,,EYqztQ
SR-207,,,,,1941,1945,,SadVpQ4
SR-207,,,,,1945,1968,,7zGlEKO
SR-208,US-40 east of Fruitland,SR-35 near Tabiona,10.205,16.423,1941,current,,BAWm2Rp
SR-209,SR-48,SR-210 near Little Cottonwood Canyon,14.592,23.484,1969,current,,5OylN32
SR-209,,,,,1941,1969,,Ab2pn
