Number,South or west terminus,North or east terminus,Length (mi),Length (km),Formed,Deleted,Notes
SR-156,,,,,1930s,1953,
SR-157,US-6/US-191 in Helper,Kenilworth,5.189,8.351,1930s,current,In 2013 a section of the former SR-244 along Poplar Street was added to SR-157 when SR-244 was deleted from the State Highway System.
SR-158,SR-39 at Eden Junction,Powder Mountain Ski Resort,11.691,18.815,1990,current,
SR-158,,,,,1930s,1969,
SR-159,SR-21 near Garrison,US-6/US-50,8.018,12.904,1979,current,
SR-159,,,,,1930s,1969,Old alignment of US-6
SR-160,I-15 (Exit 109) in Beaver,I-15 (Exit 112) in Beaver,3.808,6.128,1961,current,
US-160,US-50 at Crescent Junction,"Colorado state line near Dove Creek, Colorado",,,1930s,1971,"Replaced by US-163 and US-666, Modern US-191 and US-491"
SR-160,,,,,1930s,1953,
SR-161,I-70 near Cove Fort,I-15,3.084,4.963,1965,current,Formerly part of US-91
SR-161,,,,,1961,1964,
SR-161,,,,,1930s,1953,
SR-162,US-191 in Bluff,"Colorado State Highway 41 at the Colorado state line near Cortez, Colorado",31.852,51.261,2004,current,
SR-162,,,,,1930s,1990,
US-163,Arizona state line in Monument Valley,US-191 at Bluff,41.405,66.635,1977,current,
SR-163,near Levan,near Levan,,,1968,1977,"Formerly part of US-91, Now part of SR-78"
SR-163,,,,,1930s,1966,
SR-164,I-15 (Exit 253) southwest of Spanish Fork,SR-198 (South Main Street) in Spanish Fork,2.744,4.416,1962,current,
SR-164,Petersboro,Wellsville,,,1930s,1953,Now part of SR-23
SR-165,Paradise,US-91 in Logan,10.722,17.255,1969,current,
SR-165,,,,,1930s,1969,
SR-166,,,,,1930s,1969,
SR-166,,,,,1969,1990,
SR-167,I-84 near Mountain Green,SR-39 south of Huntsville,11.092,17.851,1985,current,
SR-167,,,,,1930s,1969,
SR-168,Hill Air Force Base,SR-60 in Riverdale,1.160,1.867,1962,current,
SR-168,,,,,1930s,1953,
SR-169,,,,,1977,1990,
SR-169,Draper,North Salt Lake,,,1962,1977,Legislative designation for State Street (US-89) through the Salt Lake Valley
SR-169,,,,,1930s,1953,
SR-170,SR-24 near Aurora,I-70 near Aurora,,,1992,1993,Renumbered SR-260
SR-170,,,,,1930s,1969,
SR-171,SR-111,I-215,15.660,25.202,1930s,current,
SR-172,Southwest of Salt Lake City,I-80,9.218,14.835,1985,current,
SR-172,Near Henefer,Near Henefer,,,1930s,1969,
SR-173,SR-111 southeast of Magna,US-89 in Murray,9.939,15.995,1965,current,
SR-173,,,,,1930s,1947,
SR-174,Intermountain Power Plant,US-6 south of Lynndyl,8.122,13.071,1985,current,
SR-174,,,,,1930s,1965,
SR-175,SR-154 in South Jordan,US-89 in Sandy,,,2008,current,11400 South in Salt Lake County.
SR-175,,,,,1930s,1969,
SR-176,,,,,1930s,1969,
SR-177,Sandy,Sandy,,,1965,1969,9000 South through Salt Lake County
SR-177,,,,,1930s,1963,
SR-178,I-15 (Exit 248) in Payson,SR-198 (South State Street) in Payson,1.198,1.928,2000,current,
SR-178,,,,,1930s,1969,
SR-179,,,,,1930s,1969,
SR-180,I-15 southeast of American Fork,US-89 in American Fork,1.051,1.691,1961,current,
