Ethnicity,Islam,Christianity,Judaism,Buddhism,Other,None / Atheism,n/a
TOTALS,70.20%,26.32%,0.03%,0.09%,0.02%,2.82%,0.51%
Kazakh,98.34%,0.39%,0.02%,0.01%,0.02%,0.98%,0.26%
Russian,1.43%,91.64%,0.04%,0.02%,0.03%,6.09%,0.75%
Uzbek,99.05%,0.39%,0.01%,0.01%,0.02%,0.37%,0.16%
Ukrainian,0.94%,90.74%,0.03%,0.01%,0.02%,7.31%,0.94%
Uyghur,98.35%,0.51%,0.02%,0.01%,0.03%,0.61%,0.47%
Tatar,79.57%,10.24%,0.02%,0.03%,0.06%,8.11%,1.97%
German,1.58%,81.59%,0.05%,0.04%,0.11%,13.96%,2.68%
Korean,5.24%,49.35%,0.21%,11.40%,0.14%,28.51%,5.16%
Turkish,99.13%,0.30%,0.01%,0.01%,0.02%,0.33%,0.21%
