Country,2014,2013,2012,2010,2009,2008,2007,2006,2005,2004,2003,2002
Togo,(076)29.00,(083)28.45,(079)28.50,(060)17.00,(062)15.50,(053)10.00,(049)15.17,(066)15.00,(095)23.75,(075)19.50,(095)27.50,(097)31.50
Timor-Leste,(077)29.04,(090)28.72,(086)30.00,(093)25.00,(072)16.00,(065)13.75,(094)27.00,(083)18.50,(058)13.50,(057)13.50,(030)5.50,N/A
Armenia,(078)29.07,(074)28.04,(077)27.00,(101)27.50,(111)31.13,(102)22.75,(077)23.63,(101)25.50,(102)26.00,(083)23.50,(090)25.17,N/A
Mozambique,(079)29.26,(073)28.01,(066)21.50,(098)26.50,(082)19.00,(090)20.50,(073)23.00,(045)11.50,(049)10.50,(064)16.25,(063)14.00,(070)23.50
Kosovo,(080)29.29,(085)28.47,(086)30.00,(092)24.83,(075)16.58,(058)12.00,(060)19.75,(070)16.00,(100)25.75,(077)20.13,(085)21.33,(060)20.75
Madagascar,(081)29.38,(088)28.62,(084)29.50,(116)34.88,(134)45.83,(094)21.00,(061)20.00,(066)15.00,(097)24.50,(072)18.50,(046)8.17,(065)22.75
Republic of the Congo,(082)29.44,(076)28.20,(090)30.38,(114)33.60,(116)34.75,(092)20.75,(080)24.50,(073)17.00,(071)17.00,(069)17.50,(063)14.00,(069)23.17
Northern Cyprus,(083)29.54,(094)29.34,(102)37.00,(061)17.25,(051)14.00,(053)10.00,(058)19.00,(062)14.50,(053)12.50,(081)22.00,(083)20.83,N/A
Georgia,(084)29.78,(100)30.09,(104)38.00,(099)27.00,(081)18.83,(120)31.25,(066)20.83,(089)21.00,(099)25.17,(094)27.50,(073)17.33,N/A
Albania,(085)29.92,(102)30.88,(096)34.44,(080)21.50,(088)21.75,(079)16.00,(087)25.50,(080)18.00,(062)14.17,(050)11.50,(034)6.50,N/A
Guinea-Bissau,(086)30.05,(092)28.94,(075)26.00,(067)18.25,(092)23.50,(081)16.33,(107)33.50,(062)14.50,(071)17.00,(083)23.50,(118)35.25,(094)30.25
Panama,(087)30.20,(111)32.95,(113)45.67,(081)21.83,(055)14.50,(057)11.83,(054)17.88,(039)9.50,(066)15.00,(061)14.50,(053)9.75,(049)15.50
Mongolia,(088)30.30,(098)29.93,(100)35.75,(076)19.42,(091)23.33,(093)20.83,(074)23.40,(086)19.25,(053)12.50,(073)19.00,(077)18.25,(072)24.50
Liberia,(089)30.65,(097)29.89,(110)40.50,(084)22.50,(062)15.50,(051)9.75,(085)25.33,(084)19.00,(083)20.50,(123)40.00,(132)40.00,(109)37.75
Kenya,(090)30.70,(071)27.80,(084)29.50,(070)19.00,(096)25.00,(097)21.25,(078)23.75,(118)30.25,(109)30.00,(082)22.25,(079)18.50,(075)24.75
Kuwait,(091)30.71,(077)28.28,(078)28.00,(087)23.75,(060)15.25,(061)12.63,(063)20.17,(073)17.00,(085)21.25,(103)31.67,(102)31.33,(078)25.50
Bhutan,(092)30.73,(082)28.42,(070)24.00,(064)17.75,(070)15.75,(074)15.50,(116)37.17,(098)25.00,(142)51.50,(146)55.83,(157)77.33,(135)90.75
Zambia,(093)30.89,(072)27.93,(086)30.00,(082)22.00,(097)26.75,(074)15.50,(068)21.50,(093)22.50,(090)23.00,(100)29.75,(086)23.25,(081)26.75
