Country,2014,2013,2012,2010,2009,2008,2007,2006,2005,2004,2003,2002
Slovakia,(020)11.39,(023)13.25,(025)0.00,(035)11.50,(044)11.00,(007)3.00,(003)1.00,(008)2.50,(008)0.75,(001)0.50,(012)2.50,N/A
Costa Rica,(021)12.23,(018)12.08,(019)-2.25,(029)8.08,(030)8.00,(022)5.10,(021)6.50,(029)6.67,(041)8.50,(035)7.63,(024)3.83,(015)4.25
Namibia,(022)12.50,(019)12.50,(020)-2.00,(021)7.00,(035)9.00,(023)5.50,(025)8.50,(026)6.00,(025)5.50,(042)10.00,(056)11.00,(031)8.00
Belgium,(023)12.80,(021)12.94,(020)-2.00,(014)4.00,(011)2.50,(007)3.00,(005)1.50,(014)4.00,(018)4.00,(022)4.00,(007)1.17,(012)3.50
Cape Verde,(024)14.32,(025)14.33,(009)-6.00,(026)8.00,(044)11.00,(036)8.00,(045)14.00,(045)11.50,(029)6.00,(038)8.75,(047)8.25,(046)13.75
Cyprus,(025)14.45,(024)13.83,(016)-3.00,(045)13.40,(025)5.50,(031)7.50,(045)14.00,(030)7.50,(025)5.50,(081)22.00,(083)20.83,N/A
Uruguay,(026)16.08,(027)15.92,(032)4.25,(037)11.75,(029)7.63,(043)8.33,(037)11.75,(057)13.75,(046)9.75,(042)10.00,(025)4.00,(021)6.00
Ghana,(027)16.29,(030)17.27,(041)11.00,(026)8.00,(027)6.00,(031)7.50,(029)9.00,(034)8.50,(066)15.00,(057)13.50,(048)8.75,(067)23.00
Australia,(028)16.91,(026)15.24,(030)4.00,(018)5.38,(016)3.13,(028)6.25,(028)8.79,(035)9.00,(031)6.50,(041)9.50,(050)9.25,(012)3.50
Belize,(029)17.05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Portugal,(030)17.73,(028)16.75,(033)5.33,(040)12.36,(030)8.00,(016)4.00,(008)2.00,(010)3.00,(023)4.83,(025)4.50,(028)5.17,(007)1.50
Suriname,(031)18.20,(031)18.19,(022)-1.00,(035)11.50,(042)10.60,(026)6.00,N/A,N/A,N/A,N/A,N/A,N/A
Lithuania,(032)19.20,(033)18.24,(030)4.00,(011)2.50,(010)2.25,(016)4.00,(023)7.00,(027)6.50,(021)4.50,(016)3.00,(017)2.83,N/A
United Kingdom,(033)19.93,(029)16.89,(028)2.00,(019)6.00,(020)4.00,(023)5.50,(024)8.25,(027)6.50,(024)5.17,(028)6.00,(027)4.25,(021)6.00
Slovenia,(034)20.38,(035)20.49,(036)9.14,(046)13.44,(037)9.50,(030)7.33,(021)6.50,(010)3.00,(009)1.00,(015)2.25,(020)3.00,(014)4.00
Spain,(035)20.63,(036)20.50,(039)9.75,(039)12.25,(044)11.00,(036)8.00,(033)10.25,(041)10.00,(040)8.33,(039)9.00,(042)7.67,(029)7.75
Organisation of Eastern Caribbean States,(036)20.81,(034)19.72,(025)0.00,(057)16.50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Latvia,(037)21.10,(039)22.89,(050)15.00,(030)8.50,(013)3.00,(007)3.00,(012)3.50,(010)3.00,(016)2.50,(010)1.00,(011)2.25,N/A
El Salvador,(038)21.57,(038)22.86,(037)9.30,(051)15.83,(079)17.25,(062)12.80,(064)20.20,(041)10.00,(028)5.75,(028)6.00,(037)6.83,(033)8.75
