Country,2014,2013,2012,2010,2009,2008,2007,2006,2005,2004,2003,2002
Uzbekistan,(166)61.01,(164)60.39,(157)83.00,(163)71.50,(160)67.67,(162)62.70,(160)74.88,(158)71.00,(155)66.50,(142)52.13,(154)61.50,(120)45.00
Yemen,(167)67.26,(169)69.22,(171)101.00,(170)82.13,(167)83.38,(155)59.00,(143)56.67,(149)54.00,(136)46.25,(135)48.00,(136)41.83,(103)34.75
Equatorial Guinea,(168)67.95,(166)67.20,(161)86.00,(167)79.00,(158)65.50,(156)59.25,(153)65.25,(137)48.00,(133)44.00,(133)46.25,(139)44.75,(117)42.75
Djibouti,(169)70.34,(167)67.40,(159)83.50,(110)30.50,(110)31.00,(134)41.50,(132)50.25,(121)33.00,(121)37.00,(145)55.00,(120)35.50,(096)31.25
Cuba,(170)70.92,(171)71.64,(167)98.83,(166)78.00,(170)94.00,(169)88.33,(165)96.17,(165)95.00,(161)87.00,(166)106.83,(165)97.83,(134)90.25
Laos,(171)71.22,(168)67.99,(165)89.00,(168)80.50,(169)92.00,(164)70.00,(161)75.00,(156)67.50,(155)66.50,(153)64.33,(163)94.83,(133)89.00
Sudan,(172)71.88,(170)70.06,(170)100.75,(172)85.33,(148)54.00,(135)42.00,(140)55.75,(139)48.13,(133)44.00,(132)44.25,(142)45.75,(105)36.00
Iran,(173)72.29,(174)73.40,(175)136.60,(175)94.56,(172)104.14,(166)80.33,(166)96.50,(162)90.88,(164)89.17,(158)78.30,(160)89.33,(122)48.25
Vietnam,(174)72.36,(172)71.78,(172)114.00,(165)75.75,(166)81.67,(168)86.17,(162)79.25,(155)67.25,(158)73.25,(161)86.88,(159)89.17,(131)81.25
China,(175)72.91,(173)73.07,(174)136.00,(171)84.67,(168)84.50,(167)85.50,(163)89.00,(163)94.00,(159)83.00,(162)92.33,(161)91.25,(138)97.00
Somalia,(176)73.19,(175)73.59,(164)88.33,(161)66.00,(164)77.50,(153)58.00,(159)71.50,(144)51.25,(149)59.00,(128)43.50,(140)45.00,N/A
Syria,(177)77.04,(176)78.53,(176)138.00,(173)91.50,(165)78.00,(159)59.63,(154)66.00,(153)63.00,(145)55.00,(155)67.50,(155)67.50,(126)62.83
Turkmenistan,(178)80.81,(177)79.14,(177)140.67,(176)95.33,(173)107.00,(171)95.50,(167)103.75,(167)98.50,(165)93.50,(164)99.83,(158)82.83,(136)91.50
North Korea,(179)81.96,(178)83.90,(178)141.00,(177)104.75,(174)112.50,(172)96.50,(168)108.75,(168)109.00,(167)109.00,(167)107.50,(166)99.50,(139)97.50
Eritrea,(180)84.83,(179)84.83,(179)142.00,(178)105.00,(175)115.50,(173)97.50,(169)114.75,(166)97.50,(166)99.75,(163)93.25,(162)91.50,(132)83.67
United States (extraterritorial),N/A,N/A,(057)19.00,(099)27.00,(108)30.00,(119)31.00,(111)36.00,(119)31.50,(137)48.50,(108)36.00,(135)41.00,N/A
Israel (extraterritorial),N/A,N/A,(133)59.00,(132)47.00,(150)55.50,(149)51.50,(103)32.00,(135)47.00,N/A,(115)37.50,(146)49.00,N/A
Grenada,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(055)12.00,N/A,N/A
