Country,2014,2013,2012,2010,2009,2008,2007,2006,2005,2004,2003,2002
France,(039)21.89,(037)21.60,(038)9.50,(044)13.38,(043)10.67,(035)7.67,(031)9.75,(035)9.00,(030)6.25,(019)3.50,(026)4.17,(011)3.25
Samoa,(040)22.02,(048)23.84,(054)17.00,(111)33.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Botswana,(041)22.91,(040)22.91,(042)12.00,(062)17.50,(062)15.50,(066)14.00,(075)23.50,(053)13.00,(060)14.00,(050)11.50,(062)13.00,N/A
South Africa,(042)23.19,(052)24.56,(042)12.00,(038)12.00,(033)8.50,(036)8.00,(043)13.00,(044)11.25,(031)6.50,(026)5.00,(021)3.33,(026)7.50
Trinidad and Tobago,(043)23.28,(044)23.12,(050)15.00,(030)8.50,(028)7.00,(027)6.13,(019)5.00,(019)5.00,(012)2.00,(011)2.00,(005)1.00,N/A
Papua New Guinea,(044)23.46,(041)22.97,(035)9.00,(042)13.33,(056)14.70,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Romania,(045)23.48,(042)23.05,(047)14.00,(052)16.00,(050)12.50,(047)9.00,(042)12.75,(058)14.00,(070)16.17,(070)17.83,(059)11.50,(045)13.25
United States,(046)23.49,(032)18.22,(047)14.00,(020)6.75,(020)4.00,(036)8.00,(048)14.50,(053)13.00,(044)9.50,(022)4.00,(031)6.00,(017)4.75
Haiti,(047)23.53,(049)24.09,(052)15.67,(056)16.38,(057)15.00,(073)15.13,(075)23.50,(087)19.50,(117)33.50,(125)42.13,(100)31.00,(106)36.50
Niger,(048)23.59,(043)23.08,(029)2.50,(104)28.50,(139)48.50,(130)37.00,(087)25.50,(095)24.50,(057)13.00,(071)18.33,(068)15.75,(053)18.50
Italy,(049)23.75,(057)26.11,(061)19.67,(049)15.00,(049)12.14,(044)8.42,(035)11.25,(040)9.90,(042)8.67,(039)9.00,(053)9.75,(040)11.00
Taiwan,(050)23.82,(047)23.82,(045)13.00,(048)14.50,(059)15.08,(036)8.00,(032)10.00,(043)10.50,(051)12.25,(060)14.25,(061)12.00,(035)9.00
Malta,(051)23.84,(045)23.30,(058)19.50,(014)4.00,(011)2.50,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burkina Faso,(052)24.45,(046)23.70,(068)23.33,(049)15.00,(057)15.00,(063)13.00,(068)21.50,(070)16.00,(078)19.00,(064)16.25,(076)18.00,(085)27.75
Comoros,(053)24.52,(051)24.52,(045)13.00,(070)19.00,(082)19.00,(089)20.00,(096)28.00,(093)22.50,(088)22.00,(091)26.50,(079)18.50,(058)20.50
Serbia,(054)25.05,(063)26.59,(080)29.00,(085)23.00,(062)15.50,(064)13.50,(067)21.00,(045)11.50,(065)14.83,(077)20.13,(085)21.33,(060)20.75
Argentina,(055)25.27,(054)25.67,(047)14.00,(055)16.35,(047)11.33,(068)14.08,(082)24.83,(076)17.30,(059)13.67,(079)21.33,(067)15.17,(042)12.00
Moldova,(056)25.35,(055)26.01,(053)16.00,(075)19.13,(114)33.75,(098)21.38,(081)24.75,(085)19.17,(074)17.50,(078)20.50,(094)27.00,N/A
South Korea,(057)25.66,(050)24.48,(044)12.67,(042)13.33,(069)15.67,(047)9.00,(039)12.13,(031)7.75,(034)7.50,(048)11.13,(049)9.17,(039)10.50
