Country,2014,2013,2012,2010,2009,2008,2007,2006,2005,2004,2003,2002,Noise_Field_1,Filler_2,Noise_Field_3
Chile,(058)25.80,(060)26.24,(080)29.00,(033)10.50,(039)10.50,(056)11.50,(039)12.13,(049)11.63,(050)11.75,(042)10.00,(037)6.83,(024)6.50,yixZyVA,VPYdIyy,uSQiqWS
Japan,(059)26.02,(053)25.17,(022)-1.00,(011)2.50,(017)3.25,(029)6.50,(037)11.75,(051)12.50,(037)8.00,(042)10.00,(044)8.00,(026)7.50,rZOtC,JZJIDC,RsuNK
Mauritania,(060)26.53,(067)26.76,(067)22.20,(095)25.38,(100)28.50,(105)23.88,(050)15.50,(077)17.50,(127)40.00,(138)51.00,(121)36.67,(115)41.33,PRzYAtcd,QTFyIQs,peOXAbS
Hong Kong,(061)26.55,(058)26.16,(054)17.00,(034)10.75,(048)11.75,(051)9.75,(061)20.00,(058)14.00,(039)8.25,(034)7.50,(056)11.00,(018)4.83,NLqNA,HvaTc,HqBLFi
Senegal,(062)26.68,(059)26.19,(075)26.00,(093)25.00,(089)22.00,(086)19.00,(083)25.00,(077)17.50,(078)19.00,(080)21.50,(066)14.50,(047)14.00,PLCHvD,CLIZgL,rNlGxm
Tonga,(063)26.70,(066)26.70,(063)21.00,(087)23.75,N/A,(082)18.00,(119)38.25,(053)13.00,(063)14.50,(119)38.17,N/A,N/A,IIXuRI,wGSXyC,sNZta
Hungary,(064)26.73,(056)26.09,(040)10.00,(023)7.50,(025)5.50,(023)5.50,(017)4.50,(010)3.00,(012)2.00,(028)6.00,(021)3.33,(024)6.50,gSvfnUem,CdmPRO,UUdouYz
Croatia,(065)26.82,(064)26.61,(068)23.33,(062)17.50,(078)17.17,(045)8.50,(041)12.50,(053)13.00,(056)12.83,(054)11.83,(069)16.50,(033)8.75,zvozK,PItylUTm,WMtqFiRS
Bosnia and Herzegovina,(066)26.86,(068)26.86,(058)19.50,(047)13.50,(039)10.50,(036)8.00,(034)11.17,(019)5.00,(033)7.00,(021)3.67,(037)6.83,(043)12.50,vjubW,DezngH,YlICl
Guyana,(067)27.08,(069)27.08,(058)19.50,(059)16.63,(039)10.50,(088)19.75,N/A,N/A,N/A,N/A,N/A,N/A,FzCaE,eMTnF,bJsaO
Dominican Republic,(068)27.17,(080)28.34,(095)33.25,(097)26.13,(098)26.83,(082)18.00,(072)22.75,(052)12.75,(051)12.25,(031)6.75,(072)17.00,N/A,yfOJh,ktQiQh,QGLrXO
Tanzania,(069)27.30,(070)27.34,(034)6.00,(041)13.00,(062)15.50,(070)15.00,(055)18.00,(088)19.82,(074)17.50,(061)14.50,(069)16.50,(062)21.25,yaKQLMKP,RpyBF,NcGQfv
Mauritius,(070)27.69,(062)26.47,(054)17.00,(065)18.00,(051)14.00,(047)9.00,(025)8.50,(032)8.00,(034)7.50,(046)10.50,(041)7.25,(036)9.50,qgCWcc,hZHmcXHR,KVGRvc
Nicaragua,(071)27.70,(078)28.31,(072)24.33,(083)22.33,(076)16.75,(059)12.50,(047)14.25,(069)15.50,(068)15.25,(052)11.67,(034)6.50,N/A,ONzffe,npPhU,wsUipx
Sierra Leone,(072)28.23,(061)26.35,(063)21.00,(091)24.25,(115)34.00,(114)27.75,(121)39.50,(103)26.00,(126)39.50,(088)24.50,(087)23.50,(072)24.50,gPFaU,pEycjq,LxDVF
Malawi,(073)28.29,(075)28.18,(146)68.00,(079)21.00,(062)15.50,(070)15.00,(092)26.75,(101)25.50,(089)22.75,(101)31.00,(084)21.00,(084)27.67,GvUhmbD,whvaLcDb,EBQSukp
Lesotho,(074)28.36,(081)28.36,(063)21.00,(090)24.00,(099)27.50,(116)29.50,(099)29.50,(070)16.00,(081)19.50,(098)29.50,(075)17.75,N/A,MzLddWzJ,ZMnCQEEB,VywCpn
Benin,(075)28.83,(079)28.33,(091)31.00,(070)19.00,(072)16.00,(070)15.00,(053)17.00,(023)5.50,(025)5.50,(027)5.50,(029)5.25,(021)6.00,PBJuvXz,CNyYO,UuHxqMGs
