Country,2014,2013,2012,2010,2009,2008,2007,2006,2005,2004,2003,2002
Finland,(001)6.40,(001)6.38,(001)-10.00,(001)0.00,(001)0.00,(004)2.00,(005)1.50,(001)0.50,(001)0.50,(001)0.50,(001)0.50,(001)0.50
Netherlands,(002)6.46,(002)6.48,(003)-9.00,(001)0.00,(007)1.00,(016)4.00,(012)3.50,(001)0.50,(001)0.50,(001)0.50,(001)0.50,(001)0.50
Norway,(003)6.52,(003)6.52,(001)-10.00,(001)0.00,(001)0.00,(001)1.50,(001)0.75,(006)2.00,(001)0.50,(001)0.50,(001)0.50,(001)0.50
Luxembourg,(004)6.70,(004)6.68,(006)-7.00,(014)4.00,(020)4.00,(001)1.50,N/A,N/A,N/A,N/A,N/A,N/A
Andorra,(005)6.82,(005)6.82,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Liechtenstein,(006)7.02,(007)7.35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Denmark,(007)7.43,(006)7.08,(010)-5.67,(011)2.50,(001)0.00,(014)3.50,(008)2.00,(019)5.00,(001)0.50,(001)0.50,(005)1.00,(010)3.00
Iceland,(008)8.50,(009)8.49,(006)-7.00,(001)0.00,(009)2.00,(001)1.50,(001)0.75,(001)0.50,(001)0.50,(001)0.50,(001)0.50,(001)0.50
New Zealand,(009)8.55,(008)8.38,(013)-5.33,(008)1.50,(013)3.00,(007)3.00,(015)4.17,(019)5.00,(012)2.00,(009)0.67,(017)2.83,N/A
Sweden,(010)8.98,(010)9.23,(012)-5.50,(001)0.00,(001)0.00,(007)3.00,(005)1.50,(014)4.00,(012)2.00,(011)2.00,(009)1.50,(007)1.50
Estonia,(011)9.63,(011)9.26,(003)-9.00,(009)2.00,(006)0.50,(004)2.00,(003)1.00,(006)2.00,(011)1.50,(011)2.00,(012)2.50,N/A
Austria,(012)10.01,(012)9.40,(005)-8.00,(007)0.50,(013)3.00,(014)3.50,(016)4.25,(016)4.50,(016)2.50,(017)3.25,(016)2.75,(026)7.50
Czech Republic,(013)10.07,(016)10.17,(014)-5.00,(023)7.50,(024)5.00,(016)4.00,(014)4.00,(005)0.75,(009)1.00,(019)3.50,(012)2.50,(041)11.25
Germany,(014)10.23,(017)10.24,(016)-3.00,(017)4.25,(018)3.50,(020)4.50,(020)5.75,(023)5.50,(018)4.00,(011)2.00,(008)1.33,(007)1.50
Switzerland,(015)10.47,(014)9.94,(008)-6.20,(001)0.00,(007)1.00,(007)3.00,(011)3.00,(008)2.50,(001)0.50,(001)0.50,(012)2.50,(015)4.25
Ireland,(016)10.87,(015)10.06,(015)-4.00,(009)2.00,(001)0.00,(004)2.00,(008)2.00,(001)0.50,(001)0.50,(001)0.50,(017)2.83,(006)1.00
Jamaica,(017)10.90,(013)9.88,(016)-3.00,(025)7.67,(023)4.75,(021)4.88,(027)8.63,(023)5.50,(034)7.50,(024)4.17,(021)3.33,N/A
Canada,(018)11.00,(020)12.70,(010)-5.67,(021)7.00,(019)3.70,(013)3.33,(018)4.88,(016)4.50,(021)4.50,(018)3.33,(010)1.83,(005)0.75
Poland,(019)11.03,(022)13.11,(024)-0.67,(032)8.88,(037)9.50,(047)9.00,(056)18.50,(058)14.00,(053)12.50,(032)6.83,(033)6.17,(029)7.75
