Country,2014,2013,2012,2010,2009,2008,2007,2006,2005,2004,2003,2002
Nigeria,(112)34.24,(115)34.11,(126)56.40,(145)51.50,(135)46.00,(131)37.75,(131)49.83,(120)32.23,(123)38.75,(117)37.75,(103)31.50,(049)15.50
Qatar,(113)34.32,(110)32.86,(114)46.00,(121)38.00,(094)24.00,(074)15.50,(079)24.00,(080)18.00,(090)23.00,(104)32.50,(115)35.00,N/A
Montenegro,(114)34.78,(113)32.97,(107)39.00,(104)28.50,(077)17.00,(053)10.00,(058)19.00,(045)11.50,(065)14.83,(077)20.13,(085)21.33,(060)20.75
Tajikistan,(115)34.86,(123)35.71,(122)56.00,(115)34.50,(113)32.00,(106)25.50,(115)37.00,(117)30.00,(113)33.00,(095)27.75,(113)34.50,(086)28.25
Venezuela,(116)35.37,(117)34.44,(117)55.00,(133)47.33,(124)39.50,(113)27.33,(114)36.88,(115)29.00,(090)23.00,(090)24.63,(096)27.83,(077)25.00
Brunei,(117)35.45,(122)35.45,(125)56.20,(142)51.00,(155)63.50,N/A,N/A,N/A,N/A,N/A,N/A,(111)38.00
United Arab Emirates,(118)36.03,(114)33.49,(112)45.00,(087)23.75,(086)21.50,(069)14.50,(065)20.25,(077)17.50,(100)25.75,(137)50.25,(122)37.00,N/A
South Sudan,(119)36.05,(124)36.20,(111)41.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nepal,(120)36.16,(118)34.61,(106)38.75,(119)36.38,(118)35.63,(138)43.25,(137)53.75,(159)73.50,(160)86.75,(160)84.00,(150)51.50,(127)63.00
Algeria,(121)36.26,(125)36.54,(122)56.00,(133)47.33,(141)49.56,(121)31.33,(123)40.50,(126)40.00,(129)40.33,(128)43.50,(108)33.00,(095)31.00
Mali,(122)36.29,(099)30.03,(025)0.00,(026)8.00,(030)8.00,(031)7.50,(052)16.50,(035)9.00,(037)8.00,(056)12.83,(056)11.00,(043)12.50
Macedonia,(123)36.43,(116)34.27,(094)31.67,(068)18.40,(034)8.75,(042)8.25,(036)11.50,(045)11.50,(043)8.75,(049)11.25,(051)9.67,N/A
Angola,(124)36.50,(130)37.80,(132)58.43,(104)28.50,(119)36.50,(116)29.50,(091)26.50,(091)21.50,(076)18.00,(091)26.50,(097)28.00,(093)30.17
Guatemala,(125)36.61,(095)29.39,(097)35.00,(077)20.25,(106)29.50,(101)22.64,(104)33.00,(090)21.25,(086)21.50,(066)16.50,(099)30.83,(083)27.25
Colombia,(126)36.68,(129)37.48,(143)66.50,(145)51.50,(126)40.13,(126)35.50,(126)42.33,(131)44.75,(128)40.17,(134)47.38,(147)49.17,(114)40.83
Ukraine,(127)36.93,(126)36.79,(116)54.00,(131)46.83,(089)22.00,(087)19.25,(092)26.75,(105)26.50,(112)32.50,(138)51.00,(132)40.00,(112)40.00
Afghanistan,(128)37.07,(128)37.36,(150)74.00,(147)51.67,(149)54.25,(156)59.25,(142)56.50,(130)44.25,(125)39.17,(097)28.25,(134)40.17,(104)35.50
Honduras,(129)37.14,(127)36.92,(135)61.00,(143)51.13,(128)42.00,(099)21.50,(087)25.50,(062)14.50,(076)18.00,(053)11.75,(065)14.17,N/A
