Country,2014,2013,2012,2010,2009,2008,2007,2006,2005,2004,2003,2002
Thailand,(130)37.94,(135)38.60,(137)61.50,(153)56.83,(130)44.00,(124)34.50,(135)53.50,(122)33.50,(107)28.00,(059)14.00,(082)19.67,(065)22.75
Cameroon,(131)38.13,(120)34.78,(097)35.00,(129)44.30,(109)30.50,(129)36.90,(111)36.00,(112)28.25,(083)20.50,(093)27.00,(098)30.50,(088)28.83
Indonesia,(132)38.15,(139)41.05,(146)68.00,(117)35.83,(100)28.50,(111)27.00,(100)30.50,(103)26.00,(102)26.00,(117)37.75,(110)34.25,(057)20.00
Tunisia,(133)38.69,(138)39.93,(134)60.25,(164)72.50,(154)61.50,(143)48.10,(145)57.00,(148)53.75,(147)57.50,(152)62.67,(149)50.83,(128)67.75
Oman,(134)38.83,(141)41.51,(117)55.00,(124)40.25,(106)29.50,(123)32.67,N/A,N/A,N/A,N/A,(152)57.75,N/A
Zimbabwe,(135)39.19,(133)38.12,(117)55.00,(123)39.50,(136)46.50,(151)54.00,(149)62.00,(140)50.00,(153)64.25,(155)67.50,(141)45.50,(122)48.25
Morocco,(136)39.72,(136)39.04,(138)63.29,(135)47.40,(127)41.00,(122)32.25,(106)33.25,(097)24.83,(119)36.17,(126)43.00,(131)39.67,(089)29.00
Libya,(137)39.84,(131)37.86,(154)77.50,(160)63.50,(156)64.50,(160)61.50,(155)66.50,(152)62.50,(162)88.75,(154)65.00,(153)60.00,(129)72.50
Palestine,(138)40.11,(146)43.09,(153)76.00,(150)56.13,(161)69.83,(163)66.88,(158)69.83,(134)46.75,(132)42.50,(127)43.17,(130)39.25,(082)27.00
Chad,(139)40.22,(121)34.87,(103)37.67,(112)33.17,(132)44.50,(133)41.25,(113)36.50,(124)35.50,(109)30.00,(106)33.25,(088)24.00,(087)28.75
India,(140)40.34,(140)41.22,(131)58.00,(122)38.75,(105)29.33,(118)30.00,(120)39.33,(105)26.50,(106)27.00,(120)38.50,(128)39.00,(080)26.50
Jordan,(141)40.42,(134)38.47,(128)56.80,(120)37.00,(112)31.88,(128)36.00,(122)40.21,(109)27.50,(096)24.00,(121)39.13,(122)37.00,(099)33.50
Burundi,(142)40.50,(132)38.02,(130)57.75,(108)28.88,(103)29.00,(094)21.00,(127)43.40,(125)39.83,(090)23.00,(073)19.00,(092)26.25,(072)24.50
Ethiopia,(143)40.58,(137)39.57,(127)56.60,(139)49.38,(140)49.00,(142)47.75,(150)63.00,(160)75.00,(131)42.00,(112)37.00,(124)37.50,(107)37.50
Cambodia,(144)40.97,(143)41.81,(117)55.00,(128)43.83,(117)35.17,(126)35.50,(085)25.33,(108)27.25,(090)23.00,(109)36.50,(081)19.50,(071)24.25
Burma,(145)41.43,(151)44.71,(169)100.00,(174)94.50,(171)102.67,(170)94.38,(164)93.75,(164)94.75,(163)88.83,(165)103.63,(164)95.50,(137)96.83
Bangladesh,(146)42.58,(144)42.01,(129)57.00,(126)42.50,(121)37.33,(136)42.70,(134)53.17,(137)48.00,(151)61.25,(151)62.50,(143)46.50,(118)43.75
Malaysia,(147)42.73,(145)42.73,(122)56.00,(141)50.75,(131)44.25,(132)39.50,(124)41.00,(092)22.25,(113)33.00,(122)39.83,(104)32.00,(110)37.83
