Country,2014,2013,2012,2010,2009,2008,2007,2006,2005,2004,2003,2002
Russia,(148)42.78,(148)43.42,(142)66.00,(140)49.90,(153)60.88,(141)47.50,(144)56.90,(147)52.50,(138)48.67,(140)51.38,(148)49.50,(121)48.00
Philippines,(149)43.69,(147)43.11,(140)64.50,(156)60.00,(122)38.25,(139)45.00,(128)44.75,(142)51.00,(139)50.00,(111)36.63,(118)35.25,(089)29.00
Singapore,(150)44.29,(149)43.43,(135)61.00,(136)47.50,(133)45.00,(144)49.00,(141)56.00,(146)51.50,(140)50.67,(147)57.00,(144)47.33,N/A
Democratic Republic of the Congo,(151)44.64,(142)41.66,(145)67.67,(148)51.83,(146)53.50,(148)51.25,(133)50.50,(142)51.00,(146)57.33,(141)51.50,(127)38.50,(113)40.75
Mexico,(152)45.04,(153)45.30,(149)72.67,(136)47.50,(137)48.25,(140)46.13,(136)53.63,(132)45.83,(135)45.50,(096)27.83,(074)17.67,(075)24.75
Iraq,(153)45.44,(150)44.67,(152)75.36,(130)45.58,(145)53.30,(158)59.38,(157)67.83,(154)66.83,(157)67.00,(148)58.50,(124)37.50,(130)79.00
Turkey,(154)45.87,(154)46.56,(148)70.00,(138)49.25,(122)38.25,(102)22.75,(101)31.25,(098)25.00,(098)25.00,(113)37.25,(115)35.00,(099)33.50
Gambia,(155)46.42,(152)45.09,(141)65.50,(125)40.50,(137)48.25,(137)42.75,(130)48.25,(149)54.00,(130)41.00,(098)29.50,(077)18.25,(064)22.50
Swaziland,(156)46.76,(155)46.76,(144)67.00,(155)57.50,(144)52.50,(147)50.50,(138)54.50,(127)40.50,(118)35.00,(101)31.00,(124)37.50,(089)29.00
Belarus,(157)47.82,(157)48.35,(168)99.00,(154)57.00,(151)59.50,(154)58.33,(151)63.63,(151)57.00,(152)61.33,(144)54.10,(151)52.00,(124)52.17
Pakistan,(158)51.46,(159)51.31,(151)75.00,(151)56.17,(159)65.67,(152)54.88,(152)64.83,(157)70.33,(150)60.75,(150)61.75,(128)39.00,(119)44.67
Egypt,(159)51.89,(158)48.66,(166)97.50,(127)43.33,(143)51.38,(146)50.25,(146)58.00,(133)46.25,(143)52.00,(128)43.50,(110)34.25,(101)34.50
Azerbaijan,(160)52.87,(156)47.73,(162)87.25,(152)56.38,(146)53.50,(150)53.63,(139)55.40,(135)47.00,(141)51.00,(136)49.67,(113)34.50,(101)34.50
Kazakhstan,(161)54.94,(160)55.08,(154)77.50,(162)68.50,(142)49.67,(125)35.33,(125)41.63,(128)41.00,(119)36.17,(131)44.17,(138)42.50,(116)42.00
Rwanda,(162)56.57,(161)55.46,(156)81.00,(169)81.00,(157)64.67,(145)50.00,(147)58.88,(128)41.00,(122)38.00,(113)37.25,(110)34.25,(107)37.50
Bahrain,(163)58.26,(165)62.75,(173)125.00,(144)51.38,(119)36.50,(096)21.17,(118)38.00,(111)28.00,(123)38.75,(143)52.50,(117)35.17,(067)23.00
Saudi Arabia,(164)58.30,(163)56.88,(158)83.25,(157)61.50,(163)76.50,(161)61.75,(148)59.75,(161)76.00,(154)66.00,(159)79.17,(156)71.50,(125)62.50
Sri Lanka,(165)59.13,(162)56.59,(163)87.50,(158)62.50,(162)75.00,(165)78.00,(156)67.50,(141)50.75,(115)33.25,(109)36.50,(089)24.83,(051)15.75
