District,Senator,Party,Caucus,First elected,Counties Represented
1,Kenneth P. LaValle,Republican,Republican,1976,Suffolk
2,John J. Flanagan,Republican,Republican,2002,Suffolk
3,Lee Zeldin,Republican,Republican,2010,Suffolk
4,Philip M. Boyle,Republican,Republican,2012,Suffolk
5,Carl L. Marcellino,Republican,Republican,1995†,"Nassau, Suffolk"
6,Kemp Hannon,Republican,Republican,1989†,Nassau
7,Jack M. Martins,Republican,Republican,2010,Nassau
8,Vacant,,,,"Nassau, Suffolk"
9,Dean Skelos,Republican,Republican,1984,Nassau
10,"James Sanders, Jr.",Democratic,Democratic,2012,Queens
11,Tony Avella,Democratic,Democratic,2010,Queens
