District,Senator,Party,Caucus,First elected,Counties Represented
34,Jeffrey D. Klein,Democratic,IDC,2004,"The Bronx, Westchester"
35,Andrea Stewart-Cousins,Democratic,Democratic,2006,Westchester
36,Ruth Hassell-Thompson,Democratic,Democratic,2000,"The Bronx, Westchester"
37,George S. Latimer,Democratic,Democratic,2012,Westchester
38,David Carlucci,Democratic,IDC,2010,"Rockland, Westchester"
39,Bill Larkin,Republican,Republican,1990,"Orange, Rockland, Ulster"
40,Gregory R. Ball,Republican,Republican,2010,"Dutchess, Putnam, Westchester"
41,Terry W. Gipson,Democratic,Democratic,2012,"Dutchess, Putnam"
42,John Bonacic,Republican,Republican,1998,"Delaware, Orange, Sullivan, Ulster"
43,Kathleen A. Marchione,Republican,Republican,2012,"Columbia, Rensselaer, Saratoga, Washington"
