Responsible Minister(s),Crown Entities,Monitoring Department(s),Category / Type,Empowering Legislation
Commerce,Accounting Standards Review Board,Economic Development,ICE,Financial Reporting Act 1993 (Part 3 and Schedule 1)
Commerce,Commerce Commission,Economic Development,ICE,Commerce Act 1986 (Part 1)
Commerce,Securities Commission,Economic Development,ICE,Securities Act 1978 (Part 1)
Commerce,Standards Council,Economic Development,ACE,Standards Act 1988
Commerce,Takeovers Panel,Economic Development,ICE,Takeovers Act 1993 (Part 1 and Schedule)
Commerce,Testing Laboratory Registration Council,Economic Development,ACE,Testing Laboratory Registration Act 1972
Community and Voluntary Sector,Charities Commission,Internal Affairs,ACE,Charities Act 2005 (Part 1)
CRIs and Finance (2),Crown research institutes (9),CCMAU and Treasury,CEC,Crown Research Institutes Act 1992
Economic Development and Finance (2),New Zealand Venture Investment Fund Limited,CCMAU and Treasury,CEC,None (company constitution)
Education,Careers New Zealand,Education,Crown agent,Education Act 1989 (Part 22)
