Responsible Minister(s),Crown Entities,Monitoring Department(s),Category / Type,Empowering Legislation
Law Commission,Law Commission,Justice,ICE,Law Commission Act 1985 (and Schedule 1)
Maori Affairs,Te Reo Whakapuaki Irirangi (Te Mangai Paho),TPK (Maori Development),ACE,Broadcasting Act 1989 (Part 4A and Schedule 1)
Maori Affairs,Te Taura Whiri I te Reo Maori (Maori Language Commission),TPK (Maori Development)),ACE,Maori Language Act 1987 (and Schedule 2)
Public Trust and Finance (2),Public Trust,CCMAU / Justice and Treasury,ACE,Public Trust Act 2001 (Part 2)
"Research, Science and Technology","Foundation for Research, Science and Technology",MoRST,Crown agent,"Foundation for Research, Science and Technology Act 1990 (and Schedule 1)"
Social Development and Employment,Children's Commissioner,Social Development,ICE,Children's Commissioner Act 2003 (and Schedule 1)
Social Development and Employment,Families Commission,Social Development,ACE,Families Commission Act 2003 (Part 1)
Social Development and Employment,New Zealand Artificial Limb Board,Social Development,ACE,Social Welfare (Transitional Provisions) Act 1990 (Part 3 and Schedule 3)
Social Development and Employment,Retirement Commissioner,Social Development,ACE,New Zealand Superannuation and Retirement Income Act 2001 (Part 4 and Schedule 6)
Social Development and Employment,Social Workers Registration Board,Social Development,Crown agent,Social Workers Registration Act 2003 (Part 6 and Schedule 1)
