Responsible Minister(s),Crown Entities,Monitoring Department(s),Category / Type,Empowering Legislation
ACC,Accident Compensation Corporation,Labour,Crown agent,"Injury Prevention, Rehabilitation, and Compensation Act 2001 (Part 7/Sched 5)"
"Arts, Culture and Heritage",Arts Council of New Zealand Toi Aotearoa,Culture and Heritage,ACE,Arts Council of New Zealand Toi Aotearoa Act 1994 (Part 1)
"Arts, Culture and Heritage",Museum of New Zealand Te Papa Tongarewa Board,Culture and Heritage,ACE,Museum of New Zealand Te Papa Tongarewa Act 1992 (Part 1 and Schedule 1)
"Arts, Culture and Heritage",New Zealand Film Commission,Culture and Heritage,ACE,New Zealand Film Commission Act 1978
"Arts, Culture and Heritage",New Zealand Historic Places Trust (Pouhere Taonga),Culture and Heritage,ACE,Historic Places Act 1993 (Part 3)
"Arts, Culture and Heritage",New Zealand Symphony Orchestra,Culture and Heritage,ACE,New Zealand Symphony Orchestra Act 2004 (Part 2 and Schedule 1)
Broadcasting,Broadcasting Commission (New Zealand On Air),Culture and Heritage,ACE,Broadcasting Act 1989 (Part 4 and Schedule 1)
Broadcasting,Broadcasting Standards Authority,Culture and Heritage,ICE,Broadcasting Act 1989 (Part 3 and Schedule 1)
Broadcasting and Finance (2),Radio New Zealand Limited,CCMAU / Culture and Heritage and Treasury,CEC,Radio New Zealand Act 1995
Broadcasting and Finance (2),Television New Zealand Limited,CCMAU / Culture and Heritage and Treasury,CEC,Television New Zealand Act 2003
