Year,League,Record,Finish,Manager,Playoffs,Notes
1962,California League,70-68,4th,Roy Smalley,Lost League Finals,
1963,California League,71-69,5th,Tom Saffell,,
1964,California League,66-71,6th,Tom Saffell / Harvey Koepf,none,
1966,California League,69-71,4th (t),Phil Cavarretta,,
1967,California League,56-82,8th,Phil Cavarretta,,
1968,California League,67-72,5th,Clay Bryant,,
1969,California League,72-68,3rd (t),Ken Aspromonte,,
1970,California League,79-61,2nd,Pinky May,none,
1971,California League,64-75,7th,Pinky May,,
1972,California League,50-88,8th,Lou Klimchock,,
1973,California League,70-70,4th (t),Lou Klimchock,,
1974,California League,61-79,6th (t),Joe Azcue / interim (June 29-July 3) / Del Youngblood,,
