Year,League,Record,Finish,Manager,Playoffs,Notes,Extra_Data_1
1947,Sunset League,69-69,4th,Thomas Lloyd,,,300
1948,Sunset League,77-63,3rd,Thomas Lloyd,League Champs,,146
1949,Sunset League,49-75,7th,Lilio Marcucci,none,,286
1950,Far West League,75-63,3rd,Joe Borich,Lost in 1st round,,918
1951,Far West League,52-65,3rd,Cotton Pippen,,,397
1955,California League,40-106 overall,8th,Leonard Noren,,Channel Cities moved to Reno July 1,719
1956,California League,73-67,4th,Ray Perry,Lost in 1st round,,226
1957,California League,79-59,2nd,Ray Perry,Lost League Finals,,827
1958,California League,68-69,6th,Ray Perry,,,925
1959,California League,81-58,2nd,Ray Perry,,,913
1960,California League,89-51,1st,Tom Saffell,League Champs,,754
1961,California League,97-43,1st,Roy Smalley,League Champs,,429
