Rank,Name,Image,Heightft (m),Floors,Year,Notes,Filler_1
23,1717 East Ninth Building,—,275 (84),21,1959,Also known as the East Ohio Building,nlltb
24,Keith Building,,272 (83),21,1922,,pLmvPDd
25=,East Tower,,266 (81),25,1973,Tallest all-residential building in the cityAlso known as the Reserve Square Apartments,CLYIVS
25=,Embassy Suites Tower,,266 (81),26,1969,Also known as Embassy Suites at Reserve Square,Ertzu
27,Superior Building,,265 (81),22,1922,,bMyvHo
28,Fenn Tower,,265 (81),21,1930,,rnkDCBER
29,Landmark Office Towers,,260 (79),22,1930,,IEIFaEnH
30=,Penton Media Building,—,253 (77),21,1972,,dFdJKlU
30=,Ohio Savings Plaza,—,253 (77),17,1969,,uyVpOLIe
30=,Ameritech Center,,253 (77),16,1983,,ezbGXLiZ
