Rank,Name,Image,Heightft (m),Floors,Year,Notes
12,AT&T Huron Road Building,,365 (111),24,1927,Commonly known as Ohio Bell BuildinhPreviously known as the Ameritech BuildingTallest building constructed in Cleveland in the 1920s
13,Rhodes Tower,,363 (111),20,1971,Originally known as the University Tower
14,Eaton Center,,356 (109),28,1983,
15,Ernst & Young Tower,,330 (101),21,2013,Phase I of the Flats East Bank redevelopment projectFirst downtown private office building constructed since 1992
16,Marriott at Key Center,,320 (98),28,1991,Tallest all-hotel building in the city
17,McDonald Investment Center,,308 (94),23,1968,Also known as Key CenterFormerly known as the Central National Bank Building
18,55 Public Square,,300 (91),22,1958,Tallest building constructed in the city the 1950sOriginally known as the Illuminating Building
19,Huntington Bank Building,—,289 (88),21,1924,
20,North Point Tower,,285 (87),20,1990,
21=,Diamond Building,,282 (86),23,1972,
21=,Standard Building,,282 (86),21,1925,
