Rank,Name,Image,Heightft (m),Floors,Year,Notes,Dummy_Col_1,Irrelevant_2
1,Key Tower,,947 (289),57,1991,"104th-tallest building in the world20th-tallest building in the United StatesHas been the tallest building in the city and state since 1991Stood as the tallest building in the United States between New York City and Chicago from its completion until 2007, when Comcast Center in Philadelphia was completedTallest building constructed in Cleveland in the 1990s",vkRGFJM,luCFS
2,Terminal Tower,,723 (220),52,1930,114th-tallest building in the United StatesStood as the tallest building in the world outside of New York City until 1964Tallest building constructed in the city in the 1930s,whotOA,H0QwUd
3,200 Public Square,,658 (201),45,1985,Also known as the BP BuildingTallest building constructed in the city in the 1980s,nAGJEhiP,z9bsz36r
4,Tower at Erieview,,529 (161),40,1964,Tallest building constructed in Cleveland in the 1960s,CBhQY,wNPmLsh
5,One Cleveland Center,,450 (137),31,1983,,YYANk,RkDWdR
6,Fifth Third Center,,446 (136),27,1992,,tfanR,Il8hFz
7,Federal Court House Tower,,430 (131),23,2002,Tallest building constructed in the city in the 2000sMost recently completed skyscraper in the city,VxpPw,luyvM
8,Justice Center Complex,,420 (128),26,1977,Tallest building constructed in the city in the 1970s,LHGjocPh,6omtu
9,Anthony J. Celebrezze Federal Building,,419 (128),31,1967,,DejznNRv,spZjBC
10,PNC Center,,410 (125),35,1980,Originally known as the National City Center; building was renamed in 2009,aqTnOT,Mp92Q2
11,AT Tower,,390 (119),28,1971,"Previously known as Cleveland Trust TowerCurrently being redeveloped as a mixed use hotel, retail, and residential building attached to the new Cuyahoga County HeadquartersAlso known as 900 Euclid Tower",dtWHgqv,VgL0hqA6
