County,Obama,Votes,Romney,Votes,Others,Votes,Total
San Diego,52.7%,"626,957",45.1%,"536,726",2.2%,"25,288","1,188,971"
San Francisco,83.4%,"301,723",13.0%,"47,076",3.4%,"12,996","361,795"
San Joaquin,55.6%,"114,121",41.9%,"86,071",2.5%,"5,172","205,364"
San Luis Obispo,48.6%,"61,258",47.6%,"59,967",3.8%,"4,741","125,966"
San Mateo,72.1%,"206,087",25.4%,"72,756",2.5%,"6,878","285,721"
Santa Barbara,57.4%,"94,129",39.4%,"64,606",3.2%,"5,150","163,885"
Santa Clara,70.2%,"450,818",27.2%,"174,843",2.6%,"16,290","641,951"
Santa Cruz,75.4%,"90,805",20.0%,"24,047",4.6%,"5,533","120,385"
Shasta,33.8%,"25,819",62.8%,"48,067",3.4%,"2,615","76,501"
Sierra,36.3%,652,58.7%,"1,056",5.0%,90,"1,798"
Siskiyou,40.2%,"8,044",55.4%,"11,076",4.4%,870,"19,990"
